"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"LA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.841","","01/01/2015","12/31/2015"
"MA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.434","","01/01/2015","12/31/2015"
"MD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.629","","01/01/2015","12/31/2015"
"ME","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.460","","01/01/2015","12/31/2015"
"MI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.554","","01/01/2015","12/31/2015"
"MN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.469","","01/01/2015","12/31/2015"
"MO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.576","","01/01/2015","12/31/2015"
"MP","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.674","","01/01/2015","12/31/2015"
"MT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.555","","01/01/2015","12/31/2015"
"NC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.575","","01/01/2015","12/31/2015"
"ND","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.541","","01/01/2015","12/31/2015"
"NE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.718","","01/01/2015","12/31/2015"
"NH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.676","","01/01/2015","12/31/2015"
"NJ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.660","","01/01/2015","12/31/2015"
"NM","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.563","","01/01/2015","12/31/2015"
"NV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.516","","01/01/2015","12/31/2015"
"NY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.654","","01/01/2015","12/31/2015"
"OH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.498","","01/01/2015","12/31/2015"
"OK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.540","","01/01/2015","12/31/2015"
"OR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.448","","01/01/2015","12/31/2015"
"PA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.577","","01/01/2015","12/31/2015"
"PR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.416","","01/01/2015","12/31/2015"
"RI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.608","","01/01/2015","12/31/2015"
"SC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.604","","01/01/2015","12/31/2015"
"SD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.383","","01/01/2015","12/31/2015"
"TN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.498","","01/01/2015","12/31/2015"
"TX","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.537","","01/01/2015","12/31/2015"
"UT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.479","","01/01/2015","12/31/2015"
"VA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.529","","01/01/2015","12/31/2015"
"VI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.704","","01/01/2015","12/31/2015"
"VT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.534","","01/01/2015","12/31/2015"
"WA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.502","","01/01/2015","12/31/2015"
"WI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.430","","01/01/2015","12/31/2015"
"WV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.455","","01/01/2015","12/31/2015"
"WY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.197","","01/01/2015","12/31/2015"
"AK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.777","","01/01/2015","12/31/2015"
"AL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.893","","01/01/2015","12/31/2015"
"AR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.745","","01/01/2015","12/31/2015"
"AS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.608","","01/01/2015","12/31/2015"
"CA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.580","","01/01/2015","12/31/2015"
"CO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.579","","01/01/2015","12/31/2015"
"CT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.783","","01/01/2015","12/31/2015"
"DC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.856","","01/01/2015","12/31/2015"
"DE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.682","","01/01/2015","12/31/2015"
"FL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.639","","01/01/2015","12/31/2015"
"GA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.715","","01/01/2015","12/31/2015"
"GU","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","2.842","","01/01/2015","12/31/2015"
"HI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.265","","01/01/2015","12/31/2015"
"IA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.601","","01/01/2015","12/31/2015"
"ID","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.508","","01/01/2015","12/31/2015"
"IL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.545","","01/01/2015","12/31/2015"
"IN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.687","","01/01/2015","12/31/2015"
"KS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.530","","01/01/2015","12/31/2015"
"KY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.693","","01/01/2015","12/31/2015"
"LA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.916","","01/01/2015","12/31/2015"
"MA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.483","","01/01/2015","12/31/2015"
"MD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.696","","01/01/2015","12/31/2015"
"ME","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.607","","01/01/2015","12/31/2015"
"MI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.599","","01/01/2015","12/31/2015"
"MN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.536","","01/01/2015","12/31/2015"
"MO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.631","","01/01/2015","12/31/2015"
"MP","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.763","","01/01/2015","12/31/2015"
"MT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.770","","01/01/2015","12/31/2015"
"NC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.621","","01/01/2015","12/31/2015"
"ND","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.698","","01/01/2015","12/31/2015"
"NE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.837","","01/01/2015","12/31/2015"
"NH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.850","","01/01/2015","12/31/2015"
"NJ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.716","","01/01/2015","12/31/2015"
"NM","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.684","","01/01/2015","12/31/2015"
"NV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.587","","01/01/2015","12/31/2015"
"NY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.687","","01/01/2015","12/31/2015"
"OH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.538","","01/01/2015","12/31/2015"
"OK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.603","","01/01/2015","12/31/2015"
"OR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.531","","01/01/2015","12/31/2015"
"PA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.613","","01/01/2015","12/31/2015"
"PR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.572","","01/01/2015","12/31/2015"
"RI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.767","","01/01/2015","12/31/2015"
"SC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.671","","01/01/2015","12/31/2015"
"SD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.537","","01/01/2015","12/31/2015"
"TN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.542","","01/01/2015","12/31/2015"
"TX","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.565","","01/01/2015","12/31/2015"
"UT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.583","","01/01/2015","12/31/2015"
"VA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.582","","01/01/2015","12/31/2015"
"VI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","3.543","","01/01/2015","12/31/2015"
"VT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.795","","01/01/2015","12/31/2015"
"WA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.561","","01/01/2015","12/31/2015"
"WI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.489","","01/01/2015","12/31/2015"
"WV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.536","","01/01/2015","12/31/2015"
"WY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.475","","01/01/2015","12/31/2015"
"AK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.342","","01/01/2015","12/31/2015"
"AL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.752","","01/01/2015","12/31/2015"
"AR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.585","","01/01/2015","12/31/2015"
"AS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.492","","01/01/2015","12/31/2015"
"CA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.531","","01/01/2015","12/31/2015"
"CO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.437","","01/01/2015","12/31/2015"
"CT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.613","","01/01/2015","12/31/2015"
"DC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.632","","01/01/2015","12/31/2015"
"DE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.382","","01/01/2015","12/31/2015"
"FL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.579","","01/01/2015","12/31/2015"
"GA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.618","","01/01/2015","12/31/2015"
"GU","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","-","","01/01/2015","12/31/2015"
"HI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.114","","01/01/2015","12/31/2015"
"IA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.431","","01/01/2015","12/31/2015"
"ID","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.283","","01/01/2015","12/31/2015"
"IL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.467","","01/01/2015","12/31/2015"
"IN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.577","","01/01/2015","12/31/2015"
"KS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.373","","01/01/2015","12/31/2015"
"KY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.559","","01/01/2015","12/31/2015"
"LA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.770","","01/01/2015","12/31/2015"
"MA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.390","","01/01/2015","12/31/2015"
"MD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.568","","01/01/2015","12/31/2015"
"ME","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.342","","01/01/2015","12/31/2015"
"MI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.512","","01/01/2015","12/31/2015"
"MN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.408","","01/01/2015","12/31/2015"
"MO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.525","","01/01/2015","12/31/2015"
"MP","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.593","","01/01/2015","12/31/2015"
"MT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.388","","01/01/2015","12/31/2015"
"NC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.531","","01/01/2015","12/31/2015"
"ND","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.411","","01/01/2015","12/31/2015"
"NE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.612","","01/01/2015","12/31/2015"
"NH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.530","","01/01/2015","12/31/2015"
"NJ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.607","","01/01/2015","12/31/2015"
"NM","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.458","","01/01/2015","12/31/2015"
"NV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.452","","01/01/2015","12/31/2015"
"NY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.621","","01/01/2015","12/31/2015"
"OH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.460","","01/01/2015","12/31/2015"
"OK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.482","","01/01/2015","12/31/2015"
"OR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.375","","01/01/2015","12/31/2015"
"PA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.542","","01/01/2015","12/31/2015"
"PR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.294","","01/01/2015","12/31/2015"
"RI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.475","","01/01/2015","12/31/2015"
"SC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.541","","01/01/2015","12/31/2015"
"SD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.265","","01/01/2015","12/31/2015"
"TN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.456","","01/01/2015","12/31/2015"
"TX","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.510","","01/01/2015","12/31/2015"
"UT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.390","","01/01/2015","12/31/2015"
"VA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.480","","01/01/2015","12/31/2015"
"VI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.690","","01/01/2015","12/31/2015"
"VT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.343","","01/01/2015","12/31/2015"
"WA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.448","","01/01/2015","12/31/2015"
"WI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.378","","01/01/2015","12/31/2015"
"WV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.384","","01/01/2015","12/31/2015"
"WY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.063","","01/01/2015","12/31/2015"
"AK","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.672","","01/01/2015","12/31/2015"
"AL","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.747","","01/01/2015","12/31/2015"
"AR","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.605","","01/01/2015","12/31/2015"
"AS","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.498","","01/01/2015","12/31/2015"
"CA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.535","","01/01/2015","12/31/2015"
"CO","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.522","","01/01/2015","12/31/2015"
"CT","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.578","","01/01/2015","12/31/2015"
"DC","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.525","","01/01/2015","12/31/2015"
"DE","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.345","","01/01/2015","12/31/2015"
"FL","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.544","","01/01/2015","12/31/2015"
"GA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.685","","01/01/2015","12/31/2015"
"GU","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"HI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.107","","01/01/2015","12/31/2015"
"IA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.563","","01/01/2015","12/31/2015"
"ID","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.378","","01/01/2015","12/31/2015"
"IL","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.528","","01/01/2015","12/31/2015"
"IN","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.653","","01/01/2015","12/31/2015"
"KS","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.476","","01/01/2015","12/31/2015"
"KY","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.639","","01/01/2015","12/31/2015"
"LA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.842","","01/01/2015","12/31/2015"
"MA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.437","","01/01/2015","12/31/2015"
"MD","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.566","","01/01/2015","12/31/2015"
"ME","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.491","","01/01/2015","12/31/2015"
"MI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.514","","01/01/2015","12/31/2015"
"MN","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.459","","01/01/2015","12/31/2015"
"MO","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.526","","01/01/2015","12/31/2015"
"MP","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.685","","01/01/2015","12/31/2015"
"MT","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.443","","01/01/2015","12/31/2015"
"NC","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.535","","01/01/2015","12/31/2015"
"ND","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.469","","01/01/2015","12/31/2015"
"NE","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.705","","01/01/2015","12/31/2015"
"NH","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.631","","01/01/2015","12/31/2015"
"NJ","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.573","","01/01/2015","12/31/2015"
"NM","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.582","","01/01/2015","12/31/2015"
"NV","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.441","","01/01/2015","12/31/2015"
"NY","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.513","","01/01/2015","12/31/2015"
"OH","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.444","","01/01/2015","12/31/2015"
"OK","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.535","","01/01/2015","12/31/2015"
"OR","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.403","","01/01/2015","12/31/2015"
"PA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.580","","01/01/2015","12/31/2015"
"PR","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.329","","01/01/2015","12/31/2015"
"RI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.621","","01/01/2015","12/31/2015"
"SC","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.620","","01/01/2015","12/31/2015"
"SD","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.383","","01/01/2015","12/31/2015"
"TN","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.507","","01/01/2015","12/31/2015"
"TX","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.500","","01/01/2015","12/31/2015"
"UT","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.460","","01/01/2015","12/31/2015"
"VA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.504","","01/01/2015","12/31/2015"
"VI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","3.173","","01/01/2015","12/31/2015"
"VT","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.547","","01/01/2015","12/31/2015"
"WA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.447","","01/01/2015","12/31/2015"
"WI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.406","","01/01/2015","12/31/2015"
"WV","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.402","","01/01/2015","12/31/2015"
"WY","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.229","","01/01/2015","12/31/2015"
"AK","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","1.121","","01/01/2015","12/31/2015"
"AL","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.833","","01/01/2015","12/31/2015"
"AR","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.708","","01/01/2015","12/31/2015"
"AS","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.573","","01/01/2015","12/31/2015"
"CA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.567","","01/01/2015","12/31/2015"
"CO","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.620","","01/01/2015","12/31/2015"
"CT","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.692","","01/01/2015","12/31/2015"
"DC","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.649","","01/01/2015","12/31/2015"
