Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","Centre","AL","35960","CHEROKEE","0.859783","Not Available","Not Available","Not Available","0.867397","0 out of 10","Not Available","0 out of 10","0.896865","6 out of 10","6 out of 9","6 out of 10","0.464909","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","Montgomery","AL","36116","MONTGOMERY","0.875100","10 out of 10","9 out of 9","10 out of 10","0.880292","0 out of 10","0 out of 9","0 out of 10","0.887897","3 out of 10","6 out of 9","6 out of 10","0.315281","10 out of 10","9 out of 9","10 out of 10","0.469","0 out of 10","2 out of 9","2 out of 10","0.517","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0.783","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","Montgomery","AL","36106","MONTGOMERY","0.858307","7 out of 10","8 out of 9","8 out of 10","0.900859","10 out of 10","9 out of 9","10 out of 10","0.864309","0 out of 10","3 out of 9","3 out of 10","0.356050","10 out of 10","9 out of 9","10 out of 10","0.673","0 out of 10","3 out of 9","3 out of 10","1.784","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0.910","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","Opelika","AL","36801","LEE","0.865680","10 out of 10","9 out of 9","10 out of 10","0.876815","0 out of 10","1 out of 9","1 out of 10","0.872763","0 out of 10","0 out of 9","0 out of 10","0.395219","10 out of 10","9 out of 9","10 out of 10","1.422","0 out of 10","0 out of 9","0 out of 10","0.713","1 out of 10","6 out of 9","6 out of 10","4 out of 10","0.680","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","Wedowee","AL","36278","RANDOLPH","0.860643","Not Available","Not Available","Not Available","0.890222","Not Available","Not Available","Not Available","0.897532","7 out of 10","8 out of 9","8 out of 10","0.465716","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","0.875962","10 out of 10","9 out of 9","10 out of 10","0.889023","4 out of 10","4 out of 9","4 out of 10","0.896026","6 out of 10","7 out of 9","7 out of 10","0.501609","7 out of 10","8 out of 9","8 out of 10","0.626","0 out of 10","3 out of 9","3 out of 10","1.309","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0.961","0 out of 10","0 out of 9","0 out of 10","0.276","6 out of 10","3 out of 9","6 out of 10"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","Tallassee","AL","36078","ELMORE","0.862597","Not Available","Not Available","Not Available","0.897073","8 out of 10","8 out of 9","8 out of 10","0.907876","10 out of 10","Not Available","10 out of 10","0.480440","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","Cullman","AL","35058","CULLMAN","0.861131","9 out of 10","9 out of 9","9 out of 10","0.876401","0 out of 10","0 out of 9","0 out of 10","0.892290","5 out of 10","0 out of 9","5 out of 10","0.303525","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10","0.294","6 out of 10","0 out of 9","6 out of 10","0 out of 10","1.517","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","Andalusia","AL","36420","COVINGTON","0.856331","Not Available","Not Available","Not Available","0.881371","0 out of 10","1 out of 9","1 out of 10","0.879625","0 out of 10","4 out of 9","4 out of 10","0.595039","2 out of 10","1 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available","0.698","2 out of 10","Not Available","2 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","Anniston","AL","36207","CALHOUN","0.860224","8 out of 10","Not Available","8 out of 10","0.889016","4 out of 10","0 out of 9","4 out of 10","0.894747","6 out of 10","7 out of 9","7 out of 10","0.452726","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","Huntsville","AL","35801","MADISON","0.872118","10 out of 10","9 out of 9","10 out of 10","0.882847","1 out of 10","6 out of 9","6 out of 10","0.882606","0 out of 10","6 out of 9","6 out of 10","0.482941","8 out of 10","7 out of 9","8 out of 10","0.875","0 out of 10","4 out of 9","4 out of 10","0.878","0 out of 10","3 out of 9","3 out of 10","2 out of 10","0.983","0 out of 10","0 out of 9","0 out of 10","0.327","6 out of 10","4 out of 9","6 out of 10"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","Gadsden","AL","35903","ETOWAH","0.861741","9 out of 10","9 out of 9","9 out of 10","0.866262","0 out of 10","0 out of 9","0 out of 10","0.877406","0 out of 10","3 out of 9","3 out of 10","0.721654","0 out of 10","0 out of 9","0 out of 10","0.099","8 out of 10","5 out of 9","8 out of 10","0.310","6 out of 10","5 out of 9","6 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","Hamilton","AL","35570","MARION","0.859028","Not Available","Not Available","Not Available","0.886898","Not Available","Not Available","Not Available","0.885069","2 out of 10","0 out of 9","2 out of 10","0.454771","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","Fayette","AL","35555","FAYETTE","0.864083","Not Available","Not Available","Not Available","0.883277","1 out of 10","3 out of 9","3 out of 10","0.899356","7 out of 10","8 out of 9","8 out of 10","0.422481","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","Gadsden","AL","35901","ETOWAH","0.845850","0 out of 10","0 out of 9","0 out of 10","0.878073","0 out of 10","0 out of 9","0 out of 10","0.898753","7 out of 10","8 out of 9","8 out of 10","0.295947","10 out of 10","9 out of 9","10 out of 10","0.504","0 out of 10","0 out of 9","0 out of 10","0.932","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","Georgiana","AL","36033","BUTLER","0.870489","Not Available","Not Available","Not Available","0.885669","Not Available","Not Available","Not Available","0.896290","6 out of 10","Not Available","6 out of 10","0.468454","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","Enterprise","AL","36330","COFFEE","0.854383","Not Available","Not Available","Not Available","0.871495","0 out of 10","0 out of 9","0 out of 10","0.887697","3 out of 10","5 out of 9","5 out of 10","0.418660","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.844","0 out of 10","0 out of 9","0 out of 10"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","Eutaw","AL","35462","GREENE","0.860788","Not Available","Not Available","Not Available","0.895434","7 out of 10","Not Available","7 out of 10","0.895101","Not Available","Not Available","Not Available","0.476092","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","Dadeville","AL","36853","TALLAPOOSA","0.861636","Not Available","Not Available","Not Available","0.888077","Not Available","Not Available","Not Available","0.901654","8 out of 10","Not Available","8 out of 10","0.465488","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","Dothan","AL","36302","HOUSTON","0.842433","0 out of 10","0 out of 9","0 out of 10","0.882030","1 out of 10","0 out of 9","1 out of 10","0.911808","10 out of 10","9 out of 9","10 out of 10","0.496953","7 out of 10","0 out of 9","7 out of 10","0.291","4 out of 10","0 out of 9","4 out of 10","1.410","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0.745","0 out of 10","2 out of 9","2 out of 10","0.492","4 out of 10","4 out of 9","4 out of 10"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","Birmingham","AL","35205","JEFFERSON","0.860039","8 out of 10","8 out of 9","8 out of 10","0.877869","0 out of 10","2 out of 9","2 out of 10","0.903101","9 out of 10","9 out of 9","9 out of 10","0.591701","2 out of 10","4 out of 9","4 out of 10","0.352","3 out of 10","2 out of 9","3 out of 10","0.478","4 out of 10","2 out of 9","4 out of 10","1 out of 10","0.830","0 out of 10","0 out of 9","0 out of 10","0.468","4 out of 10","0 out of 9","4 out of 10"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","Centreville","AL","35042","BIBB","0.864089","Not Available","Not Available","Not Available","0.890388","Not Available","Not Available","Not Available","0.865835","0 out of 10","Not Available","0 out of 10","0.476572","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","Moulton","AL","35650","LAWRENCE","0.863568","Not Available","Not Available","Not Available","0.884993","2 out of 10","Not Available","2 out of 10","0.888124","3 out of 10","0 out of 9","3 out of 10","0.474170","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","Scottsboro","AL","35768","JACKSON","0.857069","Not Available","Not Available","Not Available","0.893678","6 out of 10","7 out of 9","7 out of 10","0.878458","0 out of 10","3 out of 9","3 out of 10","0.439508","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","Not Available","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","Geneva","AL","36340","GENEVA","0.860543","Not Available","Not Available","Not Available","0.869756","0 out of 10","0 out of 9","0 out of 10","0.881306","0 out of 10","2 out of 9","2 out of 10","0.493689","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","Alexander City","AL","35010","TALLAPOOSA","0.861867","9 out of 10","Not Available","9 out of 10","0.886118","3 out of 10","0 out of 9","3 out of 10","0.883241","1 out of 10","6 out of 9","6 out of 10","0.696125","0 out of 10","3 out of 9","3 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","Ashland","AL","36251","CLAY","0.858156","Not Available","Not Available","Not Available","0.878077","0 out of 10","Not Available","0 out of 10","0.897523","7 out of 10","8 out of 9","8 out of 10","0.468850","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","Anniston","AL","36207","CALHOUN","0.859440","8 out of 10","8 out of 9","8 out of 10","0.880858","0 out of 10","0 out of 9","0 out of 10","0.898067","7 out of 10","8 out of 9","8 out of 10","0.862531","0 out of 10","0 out of 9","0 out of 10","0.576","0 out of 10","0 out of 9","0 out of 10","1.440","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0.237","6 out of 10","5 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","Athens","AL","35611","LIMESTONE","0.859711","Not Available","Not Available","Not Available","0.884952","2 out of 10","5 out of 9","5 out of 10","0.881377","0 out of 10","0 out of 9","0 out of 10","0.525790","5 out of 10","4 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available","0.971","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","0.863460","10 out of 10","Not Available","10 out of 10","0.887174","3 out of 10","5 out of 9","5 out of 10","0.889290","3 out of 10","0 out of 9","3 out of 10","0.585358","2 out of 10","1 out of 9","2 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","Decatur","AL","35601","MORGAN","0.858449","7 out of 10","Not Available","7 out of 10","0.883123","1 out of 10","6 out of 9","6 out of 10","0.862073","0 out of 10","0 out of 9","0 out of 10","0.474880","8 out of 10","8 out of 9","8 out of 10","0.477","0 out of 10","4 out of 9","4 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","8 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","1.540","0 out of 10","0 out of 9","0 out of 10"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","Winfield","AL","35594","MARION","0.866261","Not Available","Not Available","Not Available","0.893519","6 out of 10","Not Available","6 out of 10","0.902967","9 out of 10","9 out of 9","9 out of 10","0.446606","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","Mobile","AL","36617","MOBILE","0.861093","Not Available","Not Available","Not Available","0.888047","Not Available","Not Available","Not Available","0.885243","Not Available","Not Available","Not Available","0.563553","3 out of 10","0 out of 9","3 out of 10","0.788","0 out of 10","0 out of 9","0 out of 10","1.555","0 out of 10","2 out of 9","2 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","Jasper","AL","35502","WALKER","0.883554","10 out of 10","Not Available","10 out of 10","0.886440","3 out of 10","0 out of 9","3 out of 10","0.876429","0 out of 10","0 out of 9","0 out of 10","0.554604","4 out of 10","0 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available","1.203","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","Mobile","AL","36608","MOBILE","0.845588","0 out of 10","3 out of 9","3 out of 10","0.874749","0 out of 10","2 out of 9","2 out of 10","0.888167","3 out of 10","0 out of 9","3 out of 10","0.555031","4 out of 10","4 out of 9","4 out of 10","0.068","8 out of 10","3 out of 9","8 out of 10","0.468","4 out of 10","0 out of 9","4 out of 10","3 out of 10","1.068","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","Grove Hill","AL","36451","CLARKE","0.864052","Not Available","Not Available","Not Available","0.876653","0 out of 10","Not Available","0 out of 10","0.870360","0 out of 10","Not Available","0 out of 10","0.460711","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","Tuscaloosa","AL","35401","TUSCALOOSA","0.853359","4 out of 10","7 out of 9","7 out of 10","0.875117","0 out of 10","1 out of 9","1 out of 10","0.880012","0 out of 10","0 out of 9","0 out of 10","0.540535","5 out of 10","3 out of 9","5 out of 10","0.343","3 out of 10","0 out of 9","3 out of 10","1.240","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.638","0 out of 10","0 out of 9","0 out of 10","0.652","2 out of 10","0 out of 9","2 out of 10"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","Greensboro","AL","36744","HALE","0.862194","Not Available","Not Available","Not Available","0.889772","Not Available","Not Available","Not Available","0.890693","4 out of 10","Not Available","4 out of 10","0.474084","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","Wetumpka","AL","36092","ELMORE","0.863483","Not Available","Not Available","Not Available","0.890151","Not Available","Not Available","Not Available","0.878351","0 out of 10","Not Available","0 out of 10","0.470301","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","Brewton","AL","36426","ESCAMBIA","0.849065","Not Available","Not Available","Not Available","0.883270","1 out of 10","Not Available","1 out of 10","0.889325","3 out of 10","0 out of 9","3 out of 10","0.585112","2 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","Not Available","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","Fairhope","AL","36532","BALDWIN","0.856434","6 out of 10","7 out of 9","7 out of 10","0.876143","0 out of 10","0 out of 9","0 out of 10","0.882290","0 out of 10","3 out of 9","3 out of 10","0.671020","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.318","6 out of 10","5 out of 9","6 out of 10","6 out of 10","0.565","2 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
