Provider Number,Hospital Name,Address,City,State,Zip Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Unweighted Normalized Efficiency Domain Score,Weighted Efficiency Domain Score,Total Performance Score
"260059","MERCY HOSPITAL LEBANON","100 HOSPITAL DRIVE","Lebanon","MO","65536","LACLEDE","75.714285714286","07.571428571429","49.000000000000","12.250000000000","43.333333333333","17.333333333333","70.000000000000","17.500000000000","54.654761904762"
"260137","FREEMAN HEALTH SYSTEM - FREEMAN WEST","1102 WEST 32ND STREET","Joplin","MO","64804","JASPER","52.857142857143","05.285714285714","19.000000000000","04.750000000000","48.571428571429","19.428571428571","10.000000000000","02.500000000000","31.964285714286"
"170104","SHAWNEE MISSION MEDICAL CENTER","9100 W 74TH STREET","Shawnee Mission","KS","66204","JOHNSON","64.285714285714","06.428571428571","67.000000000000","16.750000000000","44.285714285714","17.714285714286","00.000000000000","00.000000000000","40.892857142857"
"170109","MIAMI COUNTY MEDICAL CENTER","2100 BAPTISTE DRIVE","Paola","KS","66071","MIAMI","83.333333333333","08.333333333333","75.000000000000","18.750000000000","80.000000000000","32.000000000000","40.000000000000","10.000000000000","69.083333333333"
"170145","COFFEYVILLE REGIONAL MEDICAL CENTER","1400 W 4TH ST","Coffeyville","KS","67337","MONTGOMERY","38.571428571429","03.857142857143","19.000000000000","04.750000000000","20.000000000000","08.000000000000","70.000000000000","17.500000000000","34.107142857143"
"190006","UNIVERSITY HOSPITAL & CLINICS","2390 WEST CONGRESS","Lafayette","LA","70506","LAFAYETTE","45.714285714286","04.571428571429","72.000000000000","18.000000000000","36.666666666667","14.666666666667","20.000000000000","05.000000000000","42.238095238095"
"190007","NATCHITOCHES REGIONAL MEDICAL CENTER","501 KEYSER AVE","Natchitoches","LA","71457","NATCHITOCHES","47.142857142857","04.714285714286","38.000000000000","09.500000000000","70.000000000000","28.000000000000","30.000000000000","07.500000000000","49.714285714286"
"180012","HARDIN MEMORIAL HOSPITAL","913 NORTH DIXIE AVENUE","Elizabethtown","KY","42701","HARDIN","34.285714285714","03.428571428571","34.000000000000","08.500000000000","41.428571428571","16.571428571429","20.000000000000","05.000000000000","33.500000000000"
"180013","THE MEDICAL CENTER AT BOWLING GREEN","250 PARK STREET","Bowling Green","KY","42101","WARREN","57.142857142857","05.714285714286","26.000000000000","06.500000000000","67.142857142857","26.857142857143","00.000000000000","00.000000000000","39.071428571429"
"180035","ST ELIZABETH MEDICAL CENTER NORTH","1 MEDICAL VILLAGE DRIVE","Edgewood","KY","41017","KENTON","94.285714285714","09.428571428571","40.000000000000","10.000000000000","67.142857142857","26.857142857143","00.000000000000","00.000000000000","46.285714285714"
"180053","FLEMING COUNTY HOSPITAL","55 FOUNDATION DRIVE","Flemingsburg","KY","41041","FLEMING","77.142857142857","07.714285714286","54.000000000000","13.500000000000","46.666666666667","18.666666666667","30.000000000000","07.500000000000","47.380952380952"
"180078","PAUL B HALL REGIONAL MEDICAL CENTER","625 JAMES S TRIMBLE BOULEVARD","Paintsville","KY","41240","JOHNSON","Not Available","Not Available","32.000000000000","08.888888888889","62.500000000000","27.777777777778","40.000000000000","11.111111111111","47.777777777778"
"450864","TEXAS SPINE AND JOINT HOSPITAL","1814 ROSELAND BOULEVARD","Tyler","TX","75701","SMITH","75.000000000000","12.500000000000","100.000000000000","41.666666666667","Not Available","Not Available","10.000000000000","04.166666666667","58.333333333333"
"450869","DOCTORS HOSPITAL AT RENAISSANCE","5501 SOUTH MCCOLL","Edinburg","TX","78539","HIDALGO","52.857142857143","05.285714285714","35.000000000000","08.750000000000","38.571428571429","15.428571428571","00.000000000000","00.000000000000","29.464285714286"
"190064","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","5000 HENNESSY BLVD","Baton Rouge","LA","70808","EAST BATON ROUGE","71.428571428571","07.142857142857","46.000000000000","11.500000000000","18.571428571429","07.428571428571","10.000000000000","02.500000000000","28.571428571429"
"190140","FRANKLIN MEDICAL CENTER","2106 LOOP ROAD","Winnsboro","LA","71295","FRANKLIN","Not Available","Not Available","57.000000000000","15.833333333333","60.000000000000","26.666666666667","00.000000000000","00.000000000000","42.500000000000"
"190164","BYRD REGIONAL HOSPITAL","1020 FERTITTA BLVD","Leesville","LA","71446","VERNON","68.571428571429","06.857142857143","49.000000000000","12.250000000000","65.000000000000","26.000000000000","20.000000000000","05.000000000000","50.107142857143"
"190176","TULANE MEDICAL CENTER","1415 TULANE AVE","New Orleans","LA","70112","ORLEANS","74.285714285714","07.428571428571","30.000000000000","07.500000000000","47.142857142857","18.857142857143","30.000000000000","07.500000000000","41.285714285714"
"190236","WILLIS KNIGHTON BOSSIER HEALTH CENTER","2400 HOSPITAL DR","Bossier City","LA","71111","BOSSIER","45.714285714286","04.571428571429","42.000000000000","10.500000000000","51.428571428571","20.571428571429","00.000000000000","00.000000000000","35.642857142857"
"200009","MAINE MEDICAL CENTER","22 BRAMHALL ST","Portland","ME","04102","CUMBERLAND","58.571428571429","05.857142857143","29.000000000000","07.250000000000","37.142857142857","14.857142857143","00.000000000000","00.000000000000","27.964285714286"
"200018","AROOSTOOK MEDICAL CENTER","PO BOX 151","Presque Isle","ME","04769","AROOSTOOK","50.000000000000","05.000000000000","31.000000000000","07.750000000000","57.500000000000","23.000000000000","60.000000000000","15.000000000000","50.750000000000"
"200052","NORTHERN MAINE MEDICAL CENTER","194 E MAIN STREET","Fort Kent","ME","04743","AROOSTOOK","88.571428571429","08.857142857143","82.000000000000","20.500000000000","63.333333333333","25.333333333333","30.000000000000","07.500000000000","62.190476190476"
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","Lawrence","MA","01842","ESSEX","44.285714285714","04.428571428571","21.000000000000","05.250000000000","35.714285714286","14.285714285714","10.000000000000","02.500000000000","26.464285714286"
"220052","SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET","Brockton","MA","02302","PLYMOUTH","68.571428571429","06.857142857143","47.000000000000","11.750000000000","47.142857142857","18.857142857143","10.000000000000","02.500000000000","39.964285714286"
"220063","LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE","Lowell","MA","01854","MIDDLESEX","70.000000000000","07.000000000000","29.000000000000","07.250000000000","42.857142857143","17.142857142857","00.000000000000","00.000000000000","31.392857142857"
"220073","MORTON HOSPITAL","88 WASHINGTON STREET","Taunton","MA","02780","BRISTOL","65.714285714286","06.571428571429","17.000000000000","04.250000000000","56.666666666667","22.666666666667","20.000000000000","05.000000000000","38.488095238095"
"220110","BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET","Boston","MA","02115","SUFFOLK","41.428571428571","04.142857142857","38.000000000000","09.500000000000","48.571428571429","19.428571428571","00.000000000000","00.000000000000","33.071428571429"
"220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","41 & 45 MALL ROAD","Burlington","MA","01805","MIDDLESEX","71.428571428571","07.142857142857","42.000000000000","10.500000000000","48.571428571429","19.428571428571","00.000000000000","00.000000000000","37.071428571429"
"140286","KISHWAUKEE COMMUNITY HOSPITAL","ONE KISH HOSPITAL DRIVE","Dekalb","IL","60115","DE KALB","91.428571428571","09.142857142857","34.000000000000","08.500000000000","54.285714285714","21.714285714286","00.000000000000","00.000000000000","39.357142857143"
"230141","MCLAREN FLINT","401 S BALLENGER HIGHWAY","Flint","MI","48532","GENESEE","75.714285714286","07.571428571429","26.000000000000","06.500000000000","37.142857142857","14.857142857143","10.000000000000","02.500000000000","31.428571428571"
"100291","WUESTHOFF MEDICAL CENTER-MELBOURNE","250 NORTH WICKHAM ROAD","Melbourne","FL","32935","BREVARD","78.571428571429","07.857142857143","29.000000000000","07.250000000000","41.428571428571","16.571428571429","30.000000000000","07.500000000000","39.178571428571"
"040022","NORTHWEST MEDICAL CENTER-SPRINGDALE","609 WEST MAPLE AVENUE","Springdale","AR","72764","WASHINGTON","31.428571428571","03.142857142857","21.000000000000","05.250000000000","31.428571428571","12.571428571429","10.000000000000","02.500000000000","23.464285714286"
"450860","SUGAR LAND SURGICAL HOSPITAL LLP","16906 SOUTHWEST FREEWAY","Sugar Land","TX","77478","FORT BEND","76.666666666667","12.777777777778","96.000000000000","40.000000000000","Not Available","Not Available","50.000000000000","20.833333333333","73.611111111111"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","Las Vegas","NV","89118","CLARK","40.000000000000","04.000000000000","18.000000000000","04.500000000000","37.142857142857","14.857142857143","00.000000000000","00.000000000000","23.357142857143"
"450874","BAYLOR SURGICAL HOSPITAL AT LAS COLINAS","400 WEST INTERSTATE 635 SUITE 101","Irving","TX","75063","DALLAS","83.333333333333","13.888888888889","83.000000000000","34.583333333333","Not Available","Not Available","10.000000000000","04.166666666667","52.638888888889"
"450875","QUAIL CREEK SURGICAL HOSPITAL","6819 PLUM CREEK","Amarillo","TX","79124","POTTER","78.333333333333","13.055555555556","100.000000000000","41.666666666667","Not Available","Not Available","60.000000000000","25.000000000000","79.722222222222"
"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","Reno","NV","89521","CARSON CITY","92.857142857143","09.285714285714","35.000000000000","08.750000000000","72.500000000000","29.000000000000","30.000000000000","07.500000000000","54.535714285714"
"280130","CHI HEALTH LAKESIDE","16901 LAKESIDE HILLS CT","Omaha","NE","68130","DOUGLAS","54.285714285714","05.428571428571","43.000000000000","10.750000000000","57.142857142857","22.857142857143","00.000000000000","00.000000000000","39.035714285714"
"500150","LEGACY SALMON CREEK MEDICAL CENTER","2211 NE 139TH STREET","Vancouver","WA","98686","CLARK","72.857142857143","07.285714285714","52.000000000000","13.000000000000","25.714285714286","10.285714285714","60.000000000000","15.000000000000","45.571428571429"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","Oro Valley","AZ","85755","PIMA","32.857142857143","03.285714285714","27.000000000000","06.750000000000","44.285714285714","17.714285714286","20.000000000000","05.000000000000","32.750000000000"
"260214","BELTON REGIONAL MEDICAL CENTER","17065 S 71 HIGHWAY","Belton","MO","64012","CASS","74.285714285714","07.428571428571","34.000000000000","08.500000000000","33.333333333333","13.333333333333","10.000000000000","02.500000000000","31.761904761905"
"240076","BUFFALO HOSPITAL","303 CATLIN ST","Buffalo","MN","55313","WRIGHT","51.428571428571","05.142857142857","74.000000000000","18.500000000000","66.666666666667","26.666666666667","50.000000000000","12.500000000000","62.809523809524"
"510023","WEIRTON MEDICAL CENTER","601 COLLIERS WAY","Weirton","WV","26062","HANCOCK","34.285714285714","03.428571428571","33.000000000000","08.250000000000","80.000000000000","32.000000000000","00.000000000000","00.000000000000","43.678571428571"
"510039","OHIO VALLEY MEDICAL CENTER","2000 EOFF STREET","Wheeling","WV","26003","OHIO","74.285714285714","07.428571428571","21.000000000000","05.250000000000","52.857142857143","21.142857142857","00.000000000000","00.000000000000","33.821428571429"
"510071","BLUEFIELD REGIONAL MEDICAL CENTER","500 CHERRY ST","Bluefield","WV","24701","MERCER","82.857142857143","08.285714285714","46.000000000000","11.500000000000","35.000000000000","14.000000000000","00.000000000000","00.000000000000","33.785714285714"
"190266","THE SPINE HOSPITAL OF LOUISIANA","10105 PARK ROW CIRCLE, SUITE 250","Baton Rouge","LA","70810","EAST BATON ROUGE","Not Available","Not Available","95.000000000000","47.500000000000","Not Available","Not Available","00.000000000000","00.000000000000","47.500000000000"
"050738","GREATER EL MONTE COMMUNITY HOSPITAL","1701 SANTA ANITA AVE","South El Monte","CA","91733","LOS ANGELES","65.000000000000","06.500000000000","27.000000000000","06.750000000000","100.000000000000","40.000000000000","00.000000000000","00.000000000000","53.250000000000"
"490119","SENTARA PRINCESS ANNE HOSPITAL","2025 GLENN MITCHELL DRIVE","Virginia Beach","VA","23456","VIRGINIA BEACH CITY","54.285714285714","05.428571428571","55.000000000000","13.750000000000","57.142857142857","22.857142857143","30.000000000000","07.500000000000","49.535714285714"
"490120","CHESAPEAKE GENERAL HOSPITAL","736 BATTLEFIELD BLVD, NORTH","Chesapeake","VA","23320","CHESAPEAKE CITY","67.142857142857","06.714285714286","34.000000000000","08.500000000000","51.428571428571","20.571428571429","10.000000000000","02.500000000000","38.285714285714"
"500024","PROVIDENCE ST PETER HOSPITAL","413 LILLY ROAD NE","Olympia","WA","98506","THURSTON","68.571428571429","06.857142857143","30.000000000000","07.500000000000","47.142857142857","18.857142857143","50.000000000000","12.500000000000","45.714285714286"
"500033","SAMARITAN HOSPITAL","801 EAST WHEELER ROAD","Moses Lake","WA","98837","GRANT","12.857142857143","01.285714285714","37.000000000000","09.250000000000","33.333333333333","13.333333333333","80.000000000000","20.000000000000","43.869047619048"
"500064","HARBORVIEW MEDICAL CENTER","325 9TH AVENUE","Seattle","WA","98104","KING","70.000000000000","07.000000000000","19.000000000000","04.750000000000","31.428571428571","12.571428571429","00.000000000000","00.000000000000","24.321428571429"
"500141","ST FRANCIS COMMUNITY HOSPITAL","34515 9TH AVENUE SOUTH","Federal Way","WA","98003","KING","34.285714285714","03.428571428571","24.000000000000","06.000000000000","55.714285714286","22.285714285714","10.000000000000","02.500000000000","34.214285714286"
"510001","WEST VIRGINIA UNIVERSITY HOSPITALS","MEDICAL CENTER DRIVE","Morgantown","WV","26506","MONONGALIA","87.142857142857","08.714285714286","24.000000000000","06.000000000000","28.571428571429","11.428571428571","00.000000000000","00.000000000000","26.142857142857"
"520095","SAUK PRAIRIE HOSPITAL","260 26TH STREET","Prairie Du Sac","WI","53578","SAUK","80.000000000000","08.000000000000","97.000000000000","24.250000000000","70.000000000000","28.000000000000","80.000000000000","20.000000000000","80.250000000000"
"520113","BAY AREA MEDICAL CENTER","3100 SHORE DRIVE","Marinette","WI","54143","MARINETTE","55.714285714286","05.571428571429","52.000000000000","13.000000000000","71.666666666667","28.666666666667","40.000000000000","10.000000000000","57.238095238095"
"520139","AURORA WEST ALLIS MEDICAL CENTER","8901 W LINCOLN AVE","West Allis","WI","53227","MILWAUKEE","60.000000000000","06.000000000000","36.000000000000","09.000000000000","34.285714285714","13.714285714286","00.000000000000","00.000000000000","28.714285714286"
"520160","THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC","1818 N MEADE ST","Appleton","WI","54911","OUTAGAMIE","61.428571428571","06.142857142857","29.000000000000","07.250000000000","35.714285714286","14.285714285714","40.000000000000","10.000000000000","37.678571428571"
"260210","ST ALEXIUS HOSPITAL","3933 S BROADWAY","Saint Louis","MO","63118","ST. LOUIS CITY","30.000000000000","03.000000000000","27.000000000000","06.750000000000","32.500000000000","13.000000000000","10.000000000000","02.500000000000","25.250000000000"
"520193","AURORA BAYCARE MEDICAL CTR","2845 GREENBRIER RD","Green Bay","WI","54313","BROWN","87.142857142857","08.714285714286","69.000000000000","17.250000000000","60.000000000000","24.000000000000","20.000000000000","05.000000000000","54.964285714286"
"110076","DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","Decatur","GA","30033","DE KALB","71.428571428571","07.142857142857","14.000000000000","03.500000000000","48.571428571429","19.428571428571","00.000000000000","00.000000000000","30.071428571429"
"110109","EMANUEL MEDICAL CENTER","117 KITE ROAD","Swainsboro","GA","30401","EMANUEL","Not Available","Not Available","89.000000000000","24.722222222222","43.333333333333","19.259259259259","60.000000000000","16.666666666667","60.648148148148"
"110128","MEADOWS REGIONAL MEDICAL CENTER","ONE MEADOWS PARKWAY","Vidalia","GA","30474","TOOMBS","22.857142857143","02.285714285714","53.000000000000","13.250000000000","43.333333333333","17.333333333333","20.000000000000","05.000000000000","37.869047619048"
"110187","CHESTATEE REGIONAL HOSPITAL","227 MOUNTAIN DR","Dahlonega","GA","30533","LUMPKIN","52.857142857143","05.285714285714","28.000000000000","07.000000000000","65.000000000000","26.000000000000","70.000000000000","17.500000000000","55.785714285714"
"450851","BAYLOR HEART AND VASCULAR HOSPITAL","621 NORTH HALL STREET","Dallas","TX","75226","DALLAS","94.000000000000","09.400000000000","90.000000000000","22.500000000000","60.000000000000","24.000000000000","10.000000000000","02.500000000000","58.400000000000"
"170074","GEARY COMMUNITY HOSPITAL","1102 ST MARY'S ROAD","Junction City","KS","66441","GEARY","32.857142857143","03.285714285714","62.000000000000","15.500000000000","50.000000000000","20.000000000000","40.000000000000","10.000000000000","48.785714285714"
"100073","HOLY CROSS HOSPITAL","4725 N FEDERAL HWY","Ft Lauderdale","FL","33308","BROWARD","62.857142857143","06.285714285714","24.000000000000","06.000000000000","54.285714285714","21.714285714286","00.000000000000","00.000000000000","34.000000000000"
"100127","MORTON PLANT HOSPITAL","300 PINELLAS ST","Clearwater","FL","33756","PINELLAS","51.428571428571","05.142857142857","45.000000000000","11.250000000000","37.142857142857","14.857142857143","00.000000000000","00.000000000000","31.250000000000"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","Magnolia ","AR","71754","COLUMBIA","46.000000000000","04.600000000000","41.000000000000","10.250000000000","50.000000000000","20.000000000000","00.000000000000","00.000000000000","34.850000000000"
"050281","ALHAMBRA HOSPITAL MEDICAL CENTER","100 S RAYMOND AVE","Alhambra","CA","91801","LOS ANGELES","58.571428571429","05.857142857143","36.000000000000","09.000000000000","87.142857142857","34.857142857143","00.000000000000","00.000000000000","49.714285714286"
"100230","MEMORIAL HOSPITAL PEMBROKE","7800 SHERIDAN ST","Pembroke Pines","FL","33024","BROWARD","92.857142857143","09.285714285714","48.000000000000","12.000000000000","45.000000000000","18.000000000000","00.000000000000","00.000000000000","39.285714285714"
"150089","INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","Indianapolis","IN","46219","DELAWARE","38.571428571429","03.857142857143","21.000000000000","05.250000000000","44.285714285714","17.714285714286","00.000000000000","00.000000000000","26.821428571429"
"100157","LAKELAND REGIONAL MEDICAL CENTER","1324 LAKELAND HILLS BLVD","Lakeland","FL","33805","POLK","65.714285714286","06.571428571429","19.000000000000","04.750000000000","34.285714285714","13.714285714286","10.000000000000","02.500000000000","27.535714285714"
"100258","DELRAY MEDICAL CENTER","5352 LINTON BLVD","Delray Beach","FL","33484","PALM BEACH","88.571428571429","08.857142857143","07.000000000000","01.750000000000","51.428571428571","20.571428571429","00.000000000000","00.000000000000","31.178571428571"
"450834","PHYSICIANS CENTRE,THE","3131 UNIVERSITY DRIVE EAST","Bryan","TX","77802","BRAZOS","80.000000000000","13.333333333333","96.000000000000","40.000000000000","Not Available","Not Available","100.000000000000","41.666666666667","95.000000000000"
"440125","FORT SANDERS REGIONAL MEDICAL CENTER","1901 W CLINCH AVE","Knoxville","TN","37916","KNOX","62.857142857143","06.285714285714","48.000000000000","12.000000000000","38.571428571429","15.428571428571","20.000000000000","05.000000000000","38.714285714286"
"490059","BON SECOURS ST MARYS HOSPITAL","5801 BREMO RD","Richmond","VA","23226","HENRICO","48.571428571429","04.857142857143","32.000000000000","08.000000000000","64.285714285714","25.714285714286","00.000000000000","00.000000000000","38.571428571429"
"130065","MOUNTAIN VIEW HOSPITAL","2325 CORONADO STREET","Idaho Falls","ID","83404","BONNEVILLE","75.000000000000","12.500000000000","26.000000000000","10.833333333333","Not Available","Not Available","50.000000000000","20.833333333333","44.166666666667"
"260023","MERCY HOSPITAL JEFFERSON","1400 HIGHWAY 61 SOUTH","Crystal City","MO","63019","JEFFERSON","52.857142857143","05.285714285714","21.000000000000","05.250000000000","51.428571428571","20.571428571429","20.000000000000","05.000000000000","36.107142857143"
"440137","TENNOVA HEALTHCARE-SHELBYVILLE","2835 HWY 231 N","Shelbyville","TN","37160","BEDFORD","50.000000000000","05.000000000000","15.000000000000","03.750000000000","25.000000000000","10.000000000000","00.000000000000","00.000000000000","18.750000000000"
