Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,IMM-2 Performance Rate,IMM-2 Achievement Points,IMM-2 Improvement Points,IMM-2 Measure Score,Preventive Condition/Procedure Score
"390035","ST LUKE'S QUAKERTOWN HOSPITAL","1021 PARK AVENUE","Quakertown","PA","18951","BUCKS","0.97902","8 out of 10","6 out of 9","8 out of 10","8"
"160122","FORT MADISON COMMUNITY HOSPITAL","5445 AVE O","Fort Madison","IA","52627","LEE","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360075","UHHS RICHMOND HEIGHTS HOSPITAL","27100 CHARDON ROAD","Bedford","OH","44146","CUYAHOGA","0.99321","10 out of 10","9 out of 9","10 out of 10","10"
"060032","ROSE MEDICAL CENTER","4567 E 9TH AVENUE","Denver","CO","80220","DENVER","0.99593","10 out of 10","9 out of 9","10 out of 10","10"
"450860","SUGAR LAND SURGICAL HOSPITAL LLP","16906 SOUTHWEST FREEWAY","Sugar Land","TX","77478","FORT BEND","0.95679","6 out of 10","7 out of 9","7 out of 10","7"
"220073","MORTON HOSPITAL","88 WASHINGTON STREET","Taunton","MA","02780","BRISTOL","0.92644","3 out of 10","6 out of 9","6 out of 10","6"
"100049","HIGHLANDS REGIONAL MEDICAL CENTER","3600 S HIGHLANDS AVE","Sebring","FL","33870","HIGHLANDS","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"440137","TENNOVA HEALTHCARE-SHELBYVILLE","2835 HWY 231 N","Shelbyville","TN","37160","BEDFORD","0.99042","10 out of 10","0 out of 9","10 out of 10","10"
"050590","METHODIST HOSPITAL OF SACRAMENTO","7500 HOSPITAL DRIVE","Sacramento","CA","95823","SACRAMENTO","0.98776","9 out of 10","9 out of 9","9 out of 10","9"
"280130","CHI HEALTH LAKESIDE","16901 LAKESIDE HILLS CT","Omaha","NE","68130","DOUGLAS","0.97714","8 out of 10","4 out of 9","8 out of 10","8"
"510039","OHIO VALLEY MEDICAL CENTER","2000 EOFF STREET","Wheeling","WV","26003","OHIO","0.95238","6 out of 10","8 out of 9","8 out of 10","8"
"370149","ST ANTHONY SHAWNEE HOSPITAL","1102 W MACARTHUR","Shawnee","OK","74801","POTTAWATOMIE","0.97990","9 out of 10","5 out of 9","9 out of 10","9"
"110007","PHOEBE PUTNEY MEMORIAL HOSPITAL","417 THIRD AVENUE","Albany","GA","31703","DOUGHERTY","0.89689","0 out of 10","3 out of 9","3 out of 10","3"
"320016","GILA REGIONAL MEDICAL CENTER","1313 E 32ND ST","Silver City","NM","88061","GRANT","0.96667","7 out of 10","9 out of 9","9 out of 10","9"
"310012","VALLEY HOSPITAL","223 N VAN DIEN AVENUE","Ridgewood","NJ","07450","BERGEN","0.91876","2 out of 10","0 out of 9","2 out of 10","2"
"050054","SAN GORGONIO MEMORIAL HOSPITAL","600 NORTH HIGHLAND SPRINGS AVENUE","Banning","CA","92220","RIVERSIDE","0.86469","0 out of 10","0 out of 9","0 out of 10","0"
"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","Phillipsburg","NJ","08865","WARREN","0.99157","10 out of 10","9 out of 9","10 out of 10","10"
"050767","KAISER FOUNDATION HOSPITAL - VACAVILLE","1 QUALITY DRIVE","Vallejo","CA","94589","SOLANO","0.95777","6 out of 10","7 out of 9","7 out of 10","7"
"050063","HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","1300 N VERMONT AVE","Los Angeles","CA","90027","LOS ANGELES","0.90625","1 out of 10","8 out of 9","8 out of 10","8"
"670047","SIERRA PROVIDENCE EAST MEDICAL CENTER","3280 JOE BATTLE BLVD","El Paso","TX","79938","EL PASO","0.96998","7 out of 10","0 out of 9","7 out of 10","7"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET, POST OFFICE BOX  1090","Elmer","NJ","08318","SALEM","0.97087","8 out of 10","8 out of 9","8 out of 10","8"
"520193","AURORA BAYCARE MEDICAL CTR","2845 GREENBRIER RD","Green Bay","WI","54313","BROWN","0.95407","6 out of 10","6 out of 9","6 out of 10","6"
"440035","TENNOVA HEALTHCARE-CLARKSVILLE","651 DUNLOP LANE","Clarksville","TN","37040","MONTGOMERY","0.98447","9 out of 10","7 out of 9","9 out of 10","9"
"150045","DEKALB HEALTH","1316 E SEVENTH ST","Auburn","IN","46706","DE KALB","0.99623","10 out of 10","9 out of 9","10 out of 10","10"
"060028","SAINT JOSEPH HOSPITAL","1375 EAST 19TH AVE","Denver","CO","80218","DENVER","0.98600","9 out of 10","9 out of 9","9 out of 10","9"
"360070","MERCY MEDICAL CENTER","1320 MERCY DRIVE NW","Canton","OH","44708","STARK","0.94471","5 out of 10","0 out of 9","5 out of 10","5"
"440189","TENNOVA HEALTHCARE-REGIONAL JACKSON","367 HOSPITAL BLVD","Jackson","TN","38305","MADISON","0.88849","0 out of 10","0 out of 9","0 out of 10","0"
"510001","WEST VIRGINIA UNIVERSITY HOSPITALS","MEDICAL CENTER DRIVE","Morgantown","WV","26506","MONONGALIA","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360218","LICKING MEMORIAL HOSPITAL","1320 WEST MAIN STREET","Newark","OH","43055","LICKING","0.98491","9 out of 10","9 out of 9","9 out of 10","9"
"050281","ALHAMBRA HOSPITAL MEDICAL CENTER","100 S RAYMOND AVE","Alhambra","CA","91801","LOS ANGELES","0.93230","3 out of 10","3 out of 9","3 out of 10","3"
"230015","THREE RIVERS HEALTH","701 S HEALTH PARKWAY","Three Rivers","MI","49093","ST. JOSEPH","0.83468","0 out of 10","0 out of 9","0 out of 10","0"
"390044","READING HOSPITAL","SIXTH AVENUE AND SPRUCE ST","West Reading","PA","19611","BERKS","0.98684","9 out of 10","7 out of 9","9 out of 10","9"
"380027","MERCY MEDICAL CENTER","2700 NW STEWART PARKWAY","Roseburg","OR","97470","DOUGLAS","0.94118","4 out of 10","6 out of 9","6 out of 10","6"
"050457","ST MARY'S MEDICAL CENTER","450 STANYAN ST","San Francisco","CA","94117","SAN FRANCISCO","0.97409","8 out of 10","4 out of 9","8 out of 10","8"
"390093","CLARION HOSPITAL","ONE HOSPITAL DRIVE","Clarion","PA","16214","CLARION","0.90114","0 out of 10","2 out of 9","2 out of 10","2"
"330307","CAYUGA MEDICAL CENTER AT ITHACA","101 DATES DRIVE","Ithaca","NY","14850","TOMPKINS","0.94118","4 out of 10","7 out of 9","7 out of 10","7"
"190064","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","5000 HENNESSY BLVD","Baton Rouge","LA","70808","EAST BATON ROUGE","0.97586","8 out of 10","7 out of 9","8 out of 10","8"
"380047","ST CHARLES MEDICAL CENTER - BEND","2500 NE NEFF ROAD","Bend","OR","97701","DESCHUTES","0.64901","0 out of 10","0 out of 9","0 out of 10","0"
"040016","UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET MAIL SLOT 612","Little Rock","AR","72205","PULASKI","0.82150","0 out of 10","5 out of 9","5 out of 10","5"
"360065","FISHER-TITUS HOSPITAL","272 BENEDICT AVENUE","Norwalk","OH","44857","HURON","0.94362","5 out of 10","3 out of 9","5 out of 10","5"
"100090","FLAGLER HOSPITAL","400 HEALTH PARK BLVD","Saint Augustine","FL","32086","ST. JOHNS","0.96160","7 out of 10","0 out of 9","7 out of 10","7"
"080001","CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD","Newark","DE","19718","NEW CASTLE","0.95782","6 out of 10","6 out of 9","6 out of 10","6"
"190236","WILLIS KNIGHTON BOSSIER HEALTH CENTER","2400 HOSPITAL DR","Bossier City","LA","71111","BOSSIER","0.98912","10 out of 10","9 out of 9","10 out of 10","10"
"190007","NATCHITOCHES REGIONAL MEDICAL CENTER","501 KEYSER AVE","Natchitoches","LA","71457","NATCHITOCHES","0.91589","2 out of 10","7 out of 9","7 out of 10","7"
"380022","SAMARITAN ALBANY GENERAL HOSPITAL","1046 6TH AVENUE SW","Albany","OR","97321","LINN","0.93993","4 out of 10","7 out of 9","7 out of 10","7"
"180012","HARDIN MEMORIAL HOSPITAL","913 NORTH DIXIE AVENUE","Elizabethtown","KY","42701","HARDIN","0.90234","0 out of 10","1 out of 9","1 out of 10","1"
"360144","SOUTH POINTE HOSPITAL","20000 HARVARD ROAD","Warrensville Heights","OH","44122","CUYAHOGA","0.94828","5 out of 10","4 out of 9","5 out of 10","5"
"060116","GOOD SAMARITAN MEDICAL CENTER","200 EXEMPLA CIRCLE","Lafayette","CO","80026","BOULDER","0.98812","9 out of 10","9 out of 9","9 out of 10","9"
"050775","TEMECULA VALLEY HOSPITAL","31700 TEMECULA PKWY","Temecula","CA","92592","RIVERSIDE","0.97638","8 out of 10","Not Available","8 out of 10","8"
"190098","UNIVERSITY HEALTH SHREVEPORT","1541 KINGS HIGHWAY","Shreveport","LA","71130","CADDO","0.86535","0 out of 10","7 out of 9","7 out of 10","7"
"230081","MUNSON HEALTHCARE CADILLAC HOSPITAL","400 HOBART ST","Cadillac","MI","49601","WEXFORD","0.94328","5 out of 10","3 out of 9","5 out of 10","5"
"260210","ST ALEXIUS HOSPITAL","3933 S BROADWAY","Saint Louis","MO","63118","ST. LOUIS CITY","0.89143","0 out of 10","7 out of 9","7 out of 10","7"
"440194","TRISTAR HENDERSONVILLE MEDICAL CENTER","355 NEW SHACKLE ISLAND RD","Hendersonville","TN","37075","SUMNER","0.99012","10 out of 10","9 out of 9","10 out of 10","10"
"070024","WILLIAM W BACKUS HOSPITAL","326 WASHINGTON ST","Norwich","CT","06360","NEW LONDON","0.97849","8 out of 10","9 out of 9","9 out of 10","9"
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","San Francisco","CA","94110","SAN FRANCISCO","0.81928","0 out of 10","0 out of 9","0 out of 10","0"
"370047","MERCY HOSPITAL ARDMORE, INC","1011 FOURTEENTH AVENUE, NORTHWEST","Ardmore","OK","73401","CARTER","0.96381","7 out of 10","7 out of 9","7 out of 10","7"
"460042","LAKEVIEW HOSPITAL","630 EAST MEDICAL DRIVE","Bountiful","UT","84010","DAVIS","0.97315","8 out of 10","0 out of 9","8 out of 10","8"
"140286","KISHWAUKEE COMMUNITY HOSPITAL","ONE KISH HOSPITAL DRIVE","Dekalb","IL","60115","DE KALB","0.99786","10 out of 10","9 out of 9","10 out of 10","10"
"390203","DOYLESTOWN HOSPITAL","595 WEST STATE ST","Doylestown","PA","18901","BUCKS","0.97436","8 out of 10","8 out of 9","8 out of 10","8"
"250025","MERIT HEALTH GILMORE MEMORIAL","1105 EARL FRYE BLVD","Amory","MS","38821","MONROE","0.99618","10 out of 10","9 out of 9","10 out of 10","10"
"050688","SAINT LOUISE REGIONAL HOSPITAL","9400 NO NAME UNO","Gilroy","CA","95020","SANTA CLARA","0.97761","8 out of 10","8 out of 9","8 out of 10","8"
"050738","GREATER EL MONTE COMMUNITY HOSPITAL","1701 SANTA ANITA AVE","South El Monte","CA","91733","LOS ANGELES","0.98997","10 out of 10","9 out of 9","10 out of 10","10"
"260137","FREEMAN HEALTH SYSTEM - FREEMAN WEST","1102 WEST 32ND STREET","Joplin","MO","64804","JASPER","0.96647","7 out of 10","6 out of 9","7 out of 10","7"
"230167","MCLAREN GREATER LANSING","401 W GREENLAWN AVE","Lansing","MI","48910","INGHAM","0.91771","2 out of 10","5 out of 9","5 out of 10","5"
"110039","TRINITY HOSPITAL OF AUGUSTA","2260 WRIGHTSBORO RD","Augusta","GA","30904","RICHMOND","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"220063","LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE","Lowell","MA","01854","MIDDLESEX","0.95808","6 out of 10","7 out of 9","7 out of 10","7"
"490048","LEWISGALE MEDICAL CENTER","1900 ELECTRIC ROAD","Salem","VA","24153","SALEM CITY","0.99668","10 out of 10","9 out of 9","10 out of 10","10"
"330184","MONTEFIORE NEW ROCHELLE HOSPITAL","16 GUION PLACE","New Rochelle","NY","10802","WESTCHESTER","0.96788","7 out of 10","7 out of 9","7 out of 10","7"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","Newark","NJ","07112","ESSEX","0.84490","0 out of 10","0 out of 9","0 out of 10","0"
"170104","SHAWNEE MISSION MEDICAL CENTER","9100 W 74TH STREET","Shawnee Mission","KS","66204","JOHNSON","0.97899","8 out of 10","9 out of 9","9 out of 10","9"
"330285","STRONG MEMORIAL HOSPITAL","601 ELMWOOD AVE","Rochester","NY","14642","MONROE","0.81529","0 out of 10","4 out of 9","4 out of 10","4"
"390162","EASTON HOSPITAL","250 SOUTH 21ST STREET","Easton","PA","18042","NORTHAMPTON","0.99178","10 out of 10","9 out of 9","10 out of 10","10"
"360170","BERGER HOSPITAL","600 NORTH PICKAWAY STREET","Circleville","OH","43113","PICKAWAY","0.99174","10 out of 10","9 out of 9","10 out of 10","10"
"350006","TRINITY HOSPITALS","407 3RD ST SE","Minot","ND","58701","WARD","0.95826","6 out of 10","5 out of 9","6 out of 10","6"
"450869","DOCTORS HOSPITAL AT RENAISSANCE","5501 SOUTH MCCOLL","Edinburg","TX","78539","HIDALGO","0.97826","8 out of 10","8 out of 9","8 out of 10","8"
"490037","RIVERSIDE SHORE MEMORIAL HOSPITAL","9507 HOSPITAL AVENUE","Nassawadox","VA","23413","NORTHAMPTON","0.98917","10 out of 10","9 out of 9","10 out of 10","10"
"340090","JOHNSTON HEALTH","509 BRIGHT LEAF BLVD","Smithfield","NC","27577","JOHNSTON","0.98839","9 out of 10","9 out of 9","9 out of 10","9"
"430077","RAPID CITY REGIONAL HOSPITAL","353 FAIRMONT BLVD  POST OFFICE BOX 6000","Rapid City","SD","57701","PENNINGTON","0.89299","0 out of 10","5 out of 9","5 out of 10","5"
"260214","BELTON REGIONAL MEDICAL CENTER","17065 S 71 HIGHWAY","Belton","MO","64012","CASS","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"390067","PINNACLE HEALTH HOSPITALS","409 SOUTH SECOND STREET","Harrisburg","PA","17105","DAUPHIN","0.95077","5 out of 10","8 out of 9","8 out of 10","8"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","Magnolia ","AR","71754","COLUMBIA","0.87336","0 out of 10","5 out of 9","5 out of 10","5"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ST","Stuttgart","AR","72160","ARKANSAS","0.92308","2 out of 10","1 out of 9","2 out of 10","2"
"360096","EAST LIVERPOOL CITY HOSPITAL","425 WEST 5TH STREET","East Liverpool","OH","43920","COLUMBIANA","0.99061","10 out of 10","9 out of 9","10 out of 10","10"
"150089","INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","Indianapolis","IN","46219","DELAWARE","0.96774","7 out of 10","5 out of 9","7 out of 10","7"
"450155","HEREFORD REGIONAL MEDICAL CENTER","801 EAST THIRD","Hereford","TX","79045","DEAF SMITH","0.69106","0 out of 10","6 out of 9","6 out of 10","6"
"140251","COMMUNITY FIRST MEDICAL CENTER","5645 W ADDISON STREET","Chicago","IL","60634","COOK","0.93015","3 out of 10","0 out of 9","3 out of 10","3"
"420073","LEXINGTON MEDICAL CENTER","2720 SUNSET BLVD","West Columbia","SC","29169","LEXINGTON","0.86200","0 out of 10","3 out of 9","3 out of 10","3"
"510071","BLUEFIELD REGIONAL MEDICAL CENTER","500 CHERRY ST","Bluefield","WV","24701","MERCER","0.99774","10 out of 10","9 out of 9","10 out of 10","10"
"360352","SURGICAL HOSPITAL AT SOUTHWOODS","7630 SOUTHERN BLVD","Youngstown","OH","44512","MAHONING","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"140208","ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","4440 W 95TH STREET","Oak Lawn","IL","60453","COOK","0.83993","0 out of 10","0 out of 9","0 out of 10","0"
"440053","SAINT THOMAS RUTHERFORD HOSPITAL","1700 MEDICAL CENTER PARKWAY","Murfreesboro","TN","37129","RUTHERFORD","0.93124","3 out of 10","7 out of 9","7 out of 10","7"
"500150","LEGACY SALMON CREEK MEDICAL CENTER","2211 NE 139TH STREET","Vancouver","WA","98686","CLARK","0.98312","9 out of 10","9 out of 9","9 out of 10","9"
"390027","TEMPLE UNIVERSITY HOSPITAL","3401 NORTH BROAD STREET","Philadelphia","PA","19140","PHILADELPHIA","0.99429","10 out of 10","9 out of 9","10 out of 10","10"
"100054","TWIN CITIES HOSPITAL","2190 HWY 85 N","Niceville","FL","32578","OKALOOSA","0.99648","10 out of 10","9 out of 9","10 out of 10","10"
"110107","MEDICAL CENTER, NAVICENT HEALTH (THE)","777 HEMLOCK STREET","Macon","GA","31201","BIBB","0.89423","0 out of 10","7 out of 9","7 out of 10","7"
"150088","ST VINCENT ANDERSON REGIONAL HOSPITAL INC","2015 JACKSON ST","Anderson","IN","46016","MADISON","0.91961","2 out of 10","2 out of 9","2 out of 10","2"
"450508","MEMORIAL HOSPITAL","1204 MOUND ST","Nacogdoches","TX","75961","NACOGDOCHES","0.91117","1 out of 10","5 out of 9","5 out of 10","5"
"030033","BANNER PAYSON MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","Payson","AZ","85541","GILA","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"450844","METHODIST WILLOWBROOK HOSPITAL","18220 TOMBALL PARKWAY","Houston","TX","77070","HARRIS","0.96705","7 out of 10","7 out of 9","7 out of 10","7"
"170142","VIA CHRISTI HOSPITAL MANHATTAN, INC","1823 COLLEGE AVE","Manhattan","KS","66502","RILEY","0.97691","8 out of 10","3 out of 9","8 out of 10","8"
"250167","METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL","4250 BETHEL ROAD","Olive Branch","MS","38654","DE SOTO","0.98092","9 out of 10","Not Available","9 out of 10","9"
"340119","CAROLINAS HEALTHCARE SYSTEM STANLY","301 YADKIN ST","Albemarle","NC","28001","STANLY","0.98718","9 out of 10","9 out of 9","9 out of 10","9"
"260050","SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE","2016 SOUTH MAIN ST","Maryville","MO","64468","NODAWAY","0.99566","10 out of 10","9 out of 9","10 out of 10","10"
"450638","HOUSTON NORTHWEST MEDICAL CENTER","710 CYPRESS CREEK PARKWAY","Houston","TX","77090","HARRIS","0.97967","9 out of 10","8 out of 9","9 out of 10","9"
"230277","HURON VALLEY-SINAI HOSPITAL","ONE WILLIAM CARLS DRIVE","Commerce","MI","48382","OAKLAND","0.99062","10 out of 10","9 out of 9","10 out of 10","10"
"230041","MCLAREN BAY REGION","1900 COLUMBUS AVE","Bay City","MI","48708","BAY","0.94794","5 out of 10","5 out of 9","5 out of 10","5"
"230066","MERCY HEALTH MUSKEGON","1700 CLINTON STREET","Muskegon","MI","49442","MUSKEGON","0.92457","3 out of 10","1 out of 9","3 out of 10","3"
"110076","DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","Decatur","GA","30033","DE KALB","0.97732","8 out of 10","9 out of 9","9 out of 10","9"
"330079","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","Saranac Lake","NY","12983","FRANKLIN","0.90102","0 out of 10","7 out of 9","7 out of 10","7"
"330102","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","Kenmore","NY","14217","ERIE","0.95310","6 out of 10","2 out of 9","6 out of 10","6"
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","Lawrence","MA","01842","ESSEX","0.92322","2 out of 10","6 out of 9","6 out of 10","6"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","Anchorage","AK","99508","ANCHORAGE","0.75810","0 out of 10","4 out of 9","4 out of 10","4"
"520095","SAUK PRAIRIE HOSPITAL","260 26TH STREET","Prairie Du Sac","WI","53578","SAUK","0.97445","8 out of 10","4 out of 9","8 out of 10","8"
"450292","TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN","850 ED HALL","Kaufman","TX","75142","KAUFMAN","0.99083","10 out of 10","9 out of 9","10 out of 10","10"
"330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","Canandaigua","NY","14424","ONTARIO","0.97291","8 out of 10","8 out of 9","8 out of 10","8"
"450021","BAYLOR UNIVERSITY MEDICAL CENTER","3500 GASTON AVE","Dallas","TX","75246","DALLAS","0.99057","10 out of 10","9 out of 9","10 out of 10","10"
"390031","SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET","700 EAST NORWEGIAN STREET","Pottsville","PA","17901","SCHUYLKILL","0.98986","10 out of 10","9 out of 9","10 out of 10","10"
"330233","BROOKDALE HOSPITAL MEDICAL CENTER","1 BROOKDALE PLAZA","Brooklyn","NY","11212","KINGS","0.53465","0 out of 10","0 out of 9","0 out of 10","0"
"410010","WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND","101 DUDLEY STREET","Providence","RI","02905","PROVIDENCE","0.95522","6 out of 10","5 out of 9","6 out of 10","6"
"040022","NORTHWEST MEDICAL CENTER-SPRINGDALE","609 WEST MAPLE AVENUE","Springdale","AR","72764","WASHINGTON","0.99102","10 out of 10","9 out of 9","10 out of 10","10"
"140291","ADVOCATE GOOD SHEPHERD HOSPITAL","450 WEST HIGHWAY 22","Barrington","IL","60010","LAKE","0.94336","5 out of 10","0 out of 9","5 out of 10","5"
"110153","PERRY HOSPITAL","1120 MORNINGSIDE DR","Perry","GA","31069","HOUSTON","0.98980","10 out of 10","9 out of 9","10 out of 10","10"
"450774","TOPS SURGICAL SPECIALTY HOSPITAL","17080 RED OAK DRIVE","Houston","TX","77090","HARRIS","0.95498","6 out of 10","0 out of 9","6 out of 10","6"
"140115","THOREK MEMORIAL HOSPITAL","850 W IRVING PARK RD","Chicago","IL","60613","COOK","0.82816","0 out of 10","0 out of 9","0 out of 10","0"
"200052","NORTHERN MAINE MEDICAL CENTER","194 E MAIN STREET","Fort Kent","ME","04743","AROOSTOOK","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"300017","PARKLAND MEDICAL CENTER","1 PARKLAND DRIVE","Derry","NH","03038","ROCKINGHAM","0.99468","10 out of 10","9 out of 9","10 out of 10","10"
"200018","AROOSTOOK MEDICAL CENTER","PO BOX 151","Presque Isle","ME","04769","AROOSTOOK","0.96863","7 out of 10","2 out of 9","7 out of 10","7"
"220110","BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET","Boston","MA","02115","SUFFOLK","0.94512","5 out of 10","4 out of 9","5 out of 10","5"
"220017","CARNEY HOSPITAL","2100 DORCHESTER AVENUE","Boston","MA","02124","SUFFOLK","0.89905","0 out of 10","3 out of 9","3 out of 10","3"
"050043","ALTA BATES SUMMIT MEDICAL CENTER","350 HAWTHORNE AVENUE","Oakland","CA","94609","ALAMEDA","0.74295","0 out of 10","0 out of 9","0 out of 10","0"
"420080","HILTON HEAD REGIONAL MEDICAL CENTER","25 HOSPITAL CENTER BLVD","Hilton Head Island","SC","29925","BEAUFORT","0.99322","10 out of 10","9 out of 9","10 out of 10","10"
"430091","BLACK HILLS SURGICAL HOSPITAL LLP","216 ANAMARIA DR","Rapid City","SD","57701","PENNINGTON","0.99359","10 out of 10","9 out of 9","10 out of 10","10"
"200009","MAINE MEDICAL CENTER","22 BRAMHALL ST","Portland","ME","04102","CUMBERLAND","0.84972","0 out of 10","0 out of 9","0 out of 10","0"
"060009","LUTHERAN MEDICAL CENTER","8300 W 38TH AVE","Wheat Ridge","CO","80033","JEFFERSON","0.96099","6 out of 10","4 out of 9","6 out of 10","6"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","Decatur","AL","35601","MORGAN","0.91887","2 out of 10","7 out of 9","7 out of 10","7"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS","7700 EAST FLORENTINE ROAD","Prescott Valley","AZ","86314","YAVAPAI","0.88378","0 out of 10","0 out of 9","0 out of 10","0"
"440132","HENRY COUNTY MEDICAL CENTER","301 TYSON AV","Paris","TN","38242","HENRY","0.90616","1 out of 10","0 out of 9","1 out of 10","1"
