"Hospital_Name","PROVIDER ID","State","Fiscal Year","Domain_1_Score","Domain_1_Score_Footnote","Domain_1_Start_Date","Domain_1_End_Date","AHRQ_PSI_90_Score","AHRQ_PSI_90_Score_Footnote","Domain_2_Score","Domain_2_Score_Footnote","CLABSI_Score","CLABSI_Score_Footnote","CAUTI_Score","CAUTI_Score_Footnote","SSI_Score","SSI_Score_Footnote","Domain_2_Start_Date","Domain_2_End_Date","TOTAL_HAC_SCORE","Total_HAC_Score_Footnote"
FLOWERS HOSPITAL,010055,AL,2016,7.0000,,07012012,06302014,7.0000,,6.0000,,7,,7,,4,,01012013,12312014,6.2500,
ST VINCENT'S BIRMINGHAM,010056,AL,2016,8.0000,,07012012,06302014,8.0000,,4.3333,,5,,3,,5,,01012013,12312014,5.2500,
BIBB MEDICAL CENTER,010058,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
LAWRENCE MEDICAL CENTER,010059,AL,2016,5.0000,,07012012,06302014,5.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,5.0000,
HIGHLANDS MEDICAL CENTER,010061,AL,2016,6.0000,,07012012,06302014,6.0000,,3.0000,,N/A,,5,,1,,01012013,12312014,3.7500,
WIREGRASS MEDICAL CENTER,010062,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
RUSSELL HOSPITAL,010065,AL,2016,9.0000,,07012012,06302014,9.0000,,2.0000,,1,,1,,4,,01012013,12312014,3.7500,
MEDICAL CENTER BARBOUR,010069,AL,2016,3.0000,,07012012,06302014,3.0000,,1.0000,,N/A,,1,,N/A,,01012013,12312014,1.5000,
CLAY COUNTY HOSPITAL,010073,AL,2016,5.0000,,07012012,06302014,5.0000,,1.0000,,N/A,,1,,N/A,,01012013,12312014,2.0000,
NORTHEAST ALABAMA REGIONAL MED CENTER,010078,AL,2016,10.0000,,07012012,06302014,10.0000,,5.6667,,9,,6,,2,,01012013,12312014,6.7500,
ATHENS-LIMESTONE HOSPITAL,010079,AL,2016,4.0000,,07012012,06302014,4.0000,,5.6667,,10,,6,,1,,01012013,12312014,5.2500,
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,2016,6.0000,,07012012,06302014,6.0000,,1.0000,,1,,1,,1,,01012013,12312014,2.2500,
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,2016,7.0000,,07012012,06302014,7.0000,,3.6667,,7,,2,,2,,01012013,12312014,4.5000,
NORTHWEST MEDICAL CENTER,010086,AL,2016,4.0000,,07012012,06302014,4.0000,,10.0000,,N/A,,N/A,,10,,01012013,12312014,8.5000,
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,2016,8.0000,,07012012,06302014,8.0000,,6.0000,,8,,9,,1,,01012013,12312014,6.5000,
WALKER BAPTIST MEDICAL CENTER,010089,AL,2016,8.0000,,07012012,06302014,8.0000,,5.6667,,8,,6,,3,,01012013,12312014,6.2500,
PROVIDENCE HOSPITAL,010090,AL,2016,9.0000,,07012012,06302014,9.0000,,4.0000,,3,,4,,5,,01012013,12312014,5.2500,
GROVE HILL MEMORIAL HOSPITAL,010091,AL,2016,5.0000,,07012012,06302014,5.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,5.0000,
D C H REGIONAL MEDICAL CENTER,010092,AL,2016,8.0000,,07012012,06302014,8.0000,,7.0000,,6,,7,,8,,01012013,12312014,7.2500,
HALE COUNTY HOSPITAL,010095,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
ELMORE COMMUNITY HOSPITAL,010097,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,2016,9.0000,,07012012,06302014,9.0000,,5.0000,,N/A,,1,,9,,01012013,12312014,6.0000,
"GULF HEALTH HOSPITALS, INC., D/B/A/THOMAS HOSPITAL",010100,AL,2016,9.0000,,07012012,06302014,9.0000,,3.3333,,3,,4,,3,,01012013,12312014,4.7500,
CITIZENS BMC,010101,AL,2016,9.0000,,07012012,06302014,9.0000,,1.0000,,N/A,,1,,1,,01012013,12312014,3.0000,
J PAUL JONES HOSPITAL,010102,AL,2016,N/A,4,07012012,06302014,N/A,4,N/A,4,N/A,4,N/A,4,N/A,4,01012013,12312014,N/A,4
BAPTIST MEDICAL CENTER-PRINCETON,010103,AL,2016,9.0000,,07012012,06302014,9.0000,,4.0000,,6,,4,,2,,01012013,12312014,5.2500,
TRINITY MEDICAL CENTER,010104,AL,2016,10.0000,,07012012,06302014,10.0000,,3.3333,,4,,4,,2,,01012013,12312014,5.0000,
PRATTVILLE BAPTIST HOSPITAL,010108,AL,2016,7.0000,,07012012,06302014,7.0000,,1.0000,,N/A,,1,,1,,01012013,12312014,2.5000,
PICKENS COUNTY MEDICAL CENTER,010109,AL,2016,4.0000,,07012012,06302014,4.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,4.0000,
BULLOCK COUNTY HOSPITAL,010110,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,010112,AL,2016,3.0000,,07012012,06302014,3.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,3.0000,
"MOBILE INFIRMARY ASSOCIATION, D/B/A MOBILE INFIRMARY",010113,AL,2016,9.0000,,07012012,06302014,9.0000,,4.6667,,5,,5,,4,,01012013,12312014,5.7500,
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,2016,9.0000,,07012012,06302014,9.0000,,6.0000,,7,,5,,6,,01012013,12312014,6.7500,
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,2016,1.0000,,07012012,06302014,1.0000,,5.3333,,6,,4,,6,,01012013,12312014,4.2500,
MONROE COUNTY HOSPITAL,010120,AL,2016,7.0000,,07012012,06302014,7.0000,,1.0000,,N/A,,1,,N/A,,01012013,12312014,2.5000,
LAKELAND COMMUNITY HOSPITAL,010125,AL,2016,4.0000,,07012012,06302014,4.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,4.0000,
TROY REGIONAL MEDICAL CENTER,010126,AL,2016,3.0000,,07012012,06302014,3.0000,,2.0000,,N/A,,3,,1,,01012013,12312014,2.2500,
JACKSON MEDICAL CENTER,010128,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
"GULF HEALTH HOSPITALS, INC., D/B/A NORTH BALDWIN INFIRMARY",010129,AL,2016,6.0000,,07012012,06302014,6.0000,,3.0000,,N/A,,5,,1,,01012013,12312014,3.7500,
ST VINCENT'S ST CLAIR,010130,AL,2016,8.0000,,07012012,06302014,8.0000,,5.0000,,1,,9,,N/A,,01012013,12312014,5.7500,
CRESTWOOD MEDICAL CENTER,010131,AL,2016,4.0000,,07012012,06302014,4.0000,,6.3333,,10,,5,,4,,01012013,12312014,5.7500,
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
BROOKWOOD MEDICAL CENTER,010139,AL,2016,8.0000,,07012012,06302014,8.0000,,6.6667,,9,,7,,4,,01012013,12312014,7.0000,
SPRINGHILL MEDICAL CENTER,010144,AL,2016,10.0000,,07012012,06302014,10.0000,,7.6667,,5,,9,,9,,01012013,12312014,8.2500,
RMC JACKSONVILLE,010146,AL,2016,4.0000,,07012012,06302014,4.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,4.0000,
EVERGREEN MEDICAL CENTER,010148,AL,2016,5.0000,,07012012,06302014,5.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,5.0000,
BAPTIST MEDICAL CENTER EAST,010149,AL,2016,1.0000,,07012012,06302014,1.0000,,3.3333,,3,,5,,2,,01012013,12312014,2.7500,
L V STABLER MEMORIAL HOSPITAL,010150,AL,2016,7.0000,,07012012,06302014,7.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,7.0000,
SHOALS HOSPITAL,010157,AL,2016,3.0000,,07012012,06302014,3.0000,,8.6667,,9,,8,,9,,01012013,12312014,7.2500,
RUSSELLVILLE HOSPITAL,010158,AL,2016,8.0000,,07012012,06302014,8.0000,,9.0000,,N/A,,9,,N/A,,01012013,12312014,8.7500,
COOSA VALLEY MEDICAL CENTER,010164,AL,2016,10.0000,,07012012,06302014,10.0000,,1.0000,,1,,1,,1,,01012013,12312014,3.2500,
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,2016,2.0000,,07012012,06302014,2.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,2.0000,
ATMORE COMMUNITY HOSPITAL,010169,AL,2016,7.0000,,07012012,06302014,7.0000,,6.0000,,N/A,,6,,N/A,,01012013,12312014,6.2500,
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,2016,10.0000,,07012012,06302014,10.0000,,5.6667,,7,,6,,4,,01012013,12312014,6.7500,
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,2016,9.0000,,07012012,06302014,9.0000,,3.0000,,1,,3,,5,,01012013,12312014,4.5000,
BARTLETT REGIONAL HOSPITAL,020008,AK,2016,4.0000,,07012012,06302014,4.0000,,5.0000,,N/A,,N/A,,5,,01012013,12312014,4.7500,
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,2016,10.0000,,07012012,06302014,10.0000,,3.6667,,1,,1,,9,,01012013,12312014,5.2500,
ALASKA REGIONAL HOSPITAL,020017,AK,2016,9.0000,,07012012,06302014,9.0000,,7.0000,,5,,10,,6,,01012013,12312014,7.5000,
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,2016,6.0000,,07012012,06302014,6.0000,,9.0000,,N/A,,N/A,,9,,01012013,12312014,8.2500,
ALASKA NATIVE MEDICAL CENTER,020026,AK,2016,9.0000,,07012012,06302014,9.0000,,3.5000,,1,,N/A,,6,,01012013,12312014,4.8750,
MT EDGECUMBE HOSPITAL,020027,AK,2016,7.0000,,07012012,06302014,7.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,7.0000,
ABRAZO MARYVALE CAMPUS,030001,AZ,2016,9.0000,,07012012,06302014,9.0000,,2.6667,,1,,1,,6,,01012013,12312014,4.2500,
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS,030002,AZ,2016,3.0000,,07012012,06302014,3.0000,,7.3333,,6,,8,,8,,01012013,12312014,6.2500,
TUCSON MEDICAL CENTER,030006,AZ,2016,9.0000,,07012012,06302014,9.0000,,6.6667,,6,,6,,8,,01012013,12312014,7.2500,
VERDE VALLEY MEDICAL CENTER,030007,AZ,2016,5.0000,,07012012,06302014,5.0000,,2.3333,,1,,2,,4,,01012013,12312014,3.0000,
CARONDELET ST  MARYS HOSPITAL,030010,AZ,2016,3.0000,,07012012,06302014,3.0000,,5.6667,,4,,6,,7,,01012013,12312014,5.0000,
CARONDELET ST JOSEPH'S HOSPITAL,030011,AZ,2016,5.0000,,07012012,06302014,5.0000,,7.6667,,3,,10,,10,,01012013,12312014,7.0000,
YAVAPAI REGIONAL MEDICAL CENTER,030012,AZ,2016,9.0000,,07012012,06302014,9.0000,,3.6667,,7,,3,,1,,01012013,12312014,5.0000,
YUMA REGIONAL MEDICAL CENTER,030013,AZ,2016,1.0000,,07012012,06302014,1.0000,,3.6667,,3,,3,,5,,01012013,12312014,3.0000,
JOHN C LINCOLN MEDICAL CENTER,030014,AZ,2016,1.0000,,07012012,06302014,1.0000,,7.6667,,8,,7,,8,,01012013,12312014,6.0000,
BANNER CASA GRANDE MEDICAL CENTER,030016,AZ,2016,10.0000,,07012012,06302014,10.0000,,5.6667,,6,,4,,7,,01012013,12312014,6.7500,
MARICOPA MEDICAL CENTER,030022,AZ,2016,10.0000,,07012012,06302014,10.0000,,8.3333,,10,,10,,5,,01012013,12312014,8.7500,
FLAGSTAFF MEDICAL CENTER,030023,AZ,2016,2.0000,,07012012,06302014,2.0000,,8.6667,,7,,9,,10,,01012013,12312014,7.0000,
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,030024,AZ,2016,9.0000,,07012012,06302014,9.0000,,5.0000,,5,,7,,3,,01012013,12312014,6.0000,
ABRAZO CENTRAL CAMPUS,030030,AZ,2016,3.0000,,07012012,06302014,3.0000,,4.6667,,7,,5,,2,,01012013,12312014,4.2500,
PAYSON REGIONAL MEDICAL CENTER,030033,AZ,2016,1.0000,,07012012,06302014,1.0000,,4.5000,,N/A,,1,,8,,01012013,12312014,3.6250,
CHANDLER REGIONAL MEDICAL CENTER,030036,AZ,2016,3.0000,,07012012,06302014,3.0000,,3.0000,,2,,3,,4,,01012013,12312014,3.0000,
ST LUKE'S MEDICAL CENTER,030037,AZ,2016,7.0000,,07012012,06302014,7.0000,,6.6667,,10,,8,,2,,01012013,12312014,6.7500,
SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,030038,AZ,2016,2.0000,,07012012,06302014,2.0000,,6.6667,,4,,8,,8,,01012013,12312014,5.5000,
SIERRA VISTA REGIONAL HEALTH CENTER,030043,AZ,2016,9.0000,,07012012,06302014,9.0000,,4.3333,,1,,10,,2,,01012013,12312014,5.5000,
KINGMAN REGIONAL MEDICAL CENTER,030055,AZ,2016,9.0000,,07012012,06302014,9.0000,,5.6667,,4,,7,,6,,01012013,12312014,6.5000,
BANNER BOSWELL MEDICAL CENTER,030061,AZ,2016,3.0000,,07012012,06302014,3.0000,,5.3333,,6,,4,,6,,01012013,12312014,4.7500,
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,030062,AZ,2016,7.0000,,07012012,06302014,7.0000,,5.0000,,6,,1,,8,,01012013,12312014,5.5000,
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,030064,AZ,2016,10.0000,,07012012,06302014,10.0000,,9.0000,,9,,8,,10,,01012013,12312014,9.2500,
BANNER DESERT MEDICAL CENTER,030065,AZ,2016,3.0000,,07012012,06302014,3.0000,,6.0000,,6,,6,,6,,01012013,12312014,5.2500,
MT GRAHAM REGIONAL MEDICAL CENTER,030068,AZ,2016,7.0000,,07012012,06302014,7.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,7.0000,
HAVASU REGIONAL MEDICAL CENTER,030069,AZ,2016,3.0000,,07012012,06302014,3.0000,,1.6667,,1,,3,,1,,01012013,12312014,2.0000,
FORT DEFIANCE INDIAN HOSPITAL,030071,AZ,2016,2.0000,,07012012,06302014,2.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,2.0000,
TUBA CITY REGIONAL HEALTH CARE CORPORATION,030073,AZ,2016,3.0000,,07012012,06302014,3.0000,,5.5000,,N/A,,1,,10,,01012013,12312014,4.8750,
SELLS INDIAN HEALTH SERVICE HOSPITAL,030074,AZ,2016,7.0000,,07012012,06302014,7.0000,,10.0000,18,10,18,10,18,10,18,01012013,12312014,9.2500,
SAN CARLOS INDIAN HOSPITAL,030077,AZ,2016,N/A,4,07012012,06302014,N/A,4,N/A,4,N/A,4,N/A,4,N/A,4,01012013,12312014,N/A,4
PHOENIX INDIAN MEDICAL CENTER,030078,AZ,2016,10.0000,,07012012,06302014,10.0000,,5.0000,,N/A,,N/A,,5,,01012013,12312014,6.2500,
ABRAZO SCOTTSDALE CAMPUS,030083,AZ,2016,8.0000,,07012012,06302014,8.0000,,4.0000,,1,,2,,9,,01012013,12312014,5.0000,
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,030084,AZ,2016,7.0000,,07012012,06302014,7.0000,,1.0000,,N/A,,1,,N/A,,01012013,12312014,2.5000,
NORTHWEST MEDICAL CENTER,030085,AZ,2016,4.0000,,07012012,06302014,4.0000,,7.6667,,7,,8,,8,,01012013,12312014,6.7500,
SCOTTSDALE SHEA MEDICAL CENTER,030087,AZ,2016,8.0000,,07012012,06302014,8.0000,,8.6667,,9,,9,,8,,01012013,12312014,8.5000,
BANNER BAYWOOD MEDICAL CENTER,030088,AZ,2016,2.0000,,07012012,06302014,2.0000,,7.0000,,7,,7,,7,,01012013,12312014,5.7500,
BANNER THUNDERBIRD MEDICAL CENTER,030089,AZ,2016,7.0000,,07012012,06302014,7.0000,,7.6667,,6,,8,,9,,01012013,12312014,7.5000,
DEER VALLEY MEDICAL CENTER,030092,AZ,2016,7.0000,,07012012,06302014,7.0000,,7.3333,,8,,4,,10,,01012013,12312014,7.2500,
BANNER DEL E WEBB MEDICAL CENTER,030093,AZ,2016,1.0000,,07012012,06302014,1.0000,,4.3333,,4,,3,,6,,01012013,12312014,3.5000,
ARROWHEAD HOSPITAL,030094,AZ,2016,9.0000,,07012012,06302014,9.0000,,5.3333,,8,,4,,4,,01012013,12312014,6.2500,
WESTERN ARIZONA REGIONAL MEDICAL CENTER,030101,AZ,2016,1.0000,,07012012,06302014,1.0000,,2.3333,,3,,2,,2,,01012013,12312014,2.0000,
MAYO CLINIC HOSPITAL,030103,AZ,2016,2.0000,,07012012,06302014,2.0000,,4.6667,,3,,4,,7,,01012013,12312014,4.0000,
BANNER HEART HOSPITAL,030105,AZ,2016,1.0000,,07012012,06302014,1.0000,,8.0000,,9,,7,,N/A,,01012013,12312014,6.2500,
ARIZONA SPINE AND JOINT HOSPITAL,030107,AZ,2016,3.0000,,07012012,06302014,3.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,3.0000,
THE SURGICAL HOSPITAL OF PHOENIX,030108,AZ,2016,3.0000,,07012012,06302014,3.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,3.0000,
ABRAZO WEST CAMPUS,030110,AZ,2016,8.0000,,07012012,06302014,8.0000,,7.6667,,8,,7,,8,,01012013,12312014,7.7500,
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,030111,AZ,2016,10.0000,,07012012,06302014,10.0000,,5.6667,,3,,4,,10,,01012013,12312014,6.7500,
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,030112,AZ,2016,9.0000,,07012012,06302014,9.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,9.0000,
WHITERIVER PHS INDIAN HOSPITAL,030113,AZ,2016,6.0000,,07012012,06302014,6.0000,,10.0000,18,N/A,,N/A,,10,18,01012013,12312014,9.0000,
ORO VALLEY HOSPITAL,030114,AZ,2016,8.0000,,07012012,06302014,8.0000,,4.6667,,7,,4,,3,,01012013,12312014,5.5000,
BANNER ESTRELLA MEDICAL CENTER,030115,AZ,2016,3.0000,,07012012,06302014,3.0000,,5.3333,,6,,4,,6,,01012013,12312014,4.7500,
VALLEY VIEW MEDICAL CENTER,030117,AZ,2016,3.0000,,07012012,06302014,3.0000,,1.0000,,1,,1,,N/A,,01012013,12312014,1.5000,
YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS,030118,AZ,2016,9.0000,,07012012,06302014,9.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,9.0000,
MERCY GILBERT MEDICAL CENTER,030119,AZ,2016,5.0000,,07012012,06302014,5.0000,,6.6667,,7,,4,,9,,01012013,12312014,6.2500,
GILBERT HOSPITAL,030120,AZ,2016,5.0000,,07012012,06302014,5.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,5.0000,
"MOUNTAIN VISTA MEDICAL CENTER, LP",030121,AZ,2016,10.0000,,07012012,06302014,10.0000,,4.0000,,6,,4,,2,,01012013,12312014,5.5000,
BANNER GATEWAY MEDICAL CENTER,030122,AZ,2016,9.0000,,07012012,06302014,9.0000,,5.3333,,4,,8,,4,,01012013,12312014,6.2500,
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,030123,AZ,2016,3.0000,,07012012,06302014,3.0000,,7.6667,,10,,5,,8,,01012013,12312014,6.5000,
BANNER IRONWOOD MEDICAL CENTER,030130,AZ,2016,8.0000,,07012012,06302014,8.0000,,10.0000,,N/A,,N/A,,10,,01012013,12312014,9.5000,
OASIS HOSPITAL,030131,AZ,2016,1.0000,,07012012,06302014,1.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,1.0000,
"FLORENCE HOSPITAL AT ANTHEM, LLC",030132,AZ,2016,9.0000,,07012012,06302014,9.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,9.0000,
BANNER GOLDFIELD MEDICAL CENTER,030134,AZ,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
DIGNITY HEALTH - ARIZONA  GENERAL HOSPITAL,030136,AZ,2016,N/A,,07012012,06302014,N/A,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,N/A,
GREEN VALLEY HOSPITAL,030137,AZ,2016,N/A,,07012012,06302014,N/A,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,N/A,
SILOAM SPRINGS REGIONAL HOSPITAL,040001,AR,2016,5.0000,,07012012,06302014,5.0000,,5.5000,,N/A,,1,,10,,01012013,12312014,5.3750,
JOHNSON REGIONAL MEDICAL CENTER,040002,AR,2016,4.0000,,07012012,06302014,4.0000,,1.0000,,N/A,,1,,N/A,,01012013,12312014,1.7500,
WASHINGTON REGIONAL MED CTR AT NORTH HILLS,040004,AR,2016,3.0000,,07012012,06302014,3.0000,,8.6667,,9,,9,,8,,01012013,12312014,7.2500,
ST VINCENT INFIRMARY MEDICAL CENTER,040007,AR,2016,5.0000,,07012012,06302014,5.0000,,5.3333,,8,,5,,3,,01012013,12312014,5.2500,
MERCY HOSPITAL NORTHWEST ARKANSAS,040010,AR,2016,10.0000,,07012012,06302014,10.0000,,4.3333,,3,,3,,7,,01012013,12312014,5.7500,
CHAMBERS MEMORIAL HOSPITAL,040011,AR,2016,9.0000,,07012012,06302014,9.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,9.0000,
WHITE COUNTY MEDICAL CENTER,040014,AR,2016,3.0000,,07012012,06302014,3.0000,,1.6667,,1,,2,,2,,01012013,12312014,2.0000,
