State,S_HBIPS-2_Measure_Description,S_HBIPS-2_Overall_Rate_Per_1000,S_HBIPS-2_Overall_Num,S_HBIPS-2_Overall_Den,S_HBIPS-2_1-12_Rate_Per_1000,S_HBIPS-2_1-12_Num,S_HBIPS-2_1-12_Den,S_HBIPS-2_13-17_Rate_Per_1000,S_HBIPS-2_13-17_Num,S_HBIPS-2_13-17_Den,S_HBIPS-2_18-64_Rate_Per_1000,S_HBIPS-2_18-64_Num,S_HBIPS-2_18-64_Den,S_HBIPS-2_65_Over_Rate_Per_1000,S_HBIPS-2_65_Over_Num,S_HBIPS-2_65_Over_Den,S_HBIPS-3_Measure_Description,S_HBIPS-3_Overall_Rate_Per_1000,S_HBIPS-3_Overall_Num,S_HBIPS-3_Overall_Den,S_HBIPS-3_1-12_Rate_Per_1000,S_HBIPS-3_1-12_Num,S_HBIPS-3_1-12_Den,S_HBIPS-3_13-17_Rate_Per_1000,S_HBIPS-3_13-17_Num,S_HBIPS-3_13-17_Den,S_HBIPS-3_18-64_Rate_Per_1000,S_HBIPS-3_18-64_Num,S_HBIPS-3_18-64_Den,S_HBIPS-3_65_Over_Rate_Per_1000,S_HBIPS-3_65_Over_Num,S_HBIPS-3_65_Over_Den,S_HBIPS-4_Measure_Description,S_HBIPS-4_Overall_%_of_Total,S_HBIPS-4_Overall_Num,S_HBIPS-4_Overall_Den,S_HBIPS-4_1-12_%_of_Total,S_HBIPS-4_1-12_Num,S_HBIPS-4_1-12_Den,S_HBIPS-4_13-17_%_of_Total,S_HBIPS-4_13-17_Num,S_HBIPS-4_13-17_Den,S_HBIPS-4_18-64_%_of_Total,S_HBIPS-4_18-64_Num,S_HBIPS-4_18-64_Den,S_HBIPS-4_65_Over_%_of_Total,S_HBIPS-4_65_Over_Num,S_HBIPS-4_65_Over_Den,S_HBIPS-5_Measure_Description,S_HBIPS-5_%_of_Total,S_HBIPS-5_Overall_Num,S_HBIPS-5_Overall_Den,S_HBIPS-5_1-12_%_of_Total,S_HBIPS-5_1-12_Num,S_HBIPS-5_1-12_Den,S_HBIPS-5_13-17_%_of_Total,S_HBIPS-5_13-17_Num,S_HBIPS-5_13-17_Den,S_HBIPS-5_18-64_%_of_Total,S_HBIPS-5_18-64_Num,S_HBIPS-5_18-64_Den,S_HBIPS-5_65_%_of_Total,S_HBIPS-5_65_Over_Num,S_HBIPS-5_65_Over_Den,S_HBIPS-6_Measure_Description,S_HBIPS-6_%_of_Total,S_HBIPS-6_Overall_Num,S_HBIPS-6_Overall_Den,S_HBIPS-6_1-12_%_of_Total,S_HBIPS-6_1-12_Num,S_HBIPS-6_1-12_Den,S_HBIPS-6_13-17_%_of_Total,S_HBIPS-6_13-17_Num,S_HBIPS-6_13-17_Den,S_HBIPS-6_18-64_%_of_Total,S_HBIPS-6_18-64_Num,S_HBIPS-6_18-64_Den,S_HBIPS-6_65_%_of_Total,S_HBIPS-6_65_Over_Num,S_HBIPS-6_65_Over_Den,S_HBIPS-7_Measure_Description,S_HBIPS-7_Overall_%_of_Total,S_HBIPS-7_Overall_Num,S_HBIPS-7_Overall_Den,S_HBIPS-7_1-12_%_of_Total,S_HBIPS-7_1-12_Num,S_HBIPS-7_1-12_Den,S_HBIPS-7_13-17_%_of_Total,S_HBIPS-7_13-17_Num,S_HBIPS-7_13-17_Den,S_HBIPS-7_18-64_%_of_Total,S_HBIPS-7_18-64_Num,S_HBIPS-7_18-64_Den,S_HBIPS-7_65_%_of_Total,S_HBIPS-7_65_Over_Num,S_HBIPS-7_65_Over_Den,S_SUB-1_Measure_Description,S_SUB-1_%,S_SUB-1_Numerator,S_SUB-1_Denominator,S_PEoC_Measure_Description,S_PEoC_Yes_Count,S_PEoC_No_Count,S_PEoC_Yes_%,S_PEoC_No_%,S_EHR_Use_Measure_Description,S_EHR_Paper_Count,S_EHR_Non-Certified_Count,S_EHR_Certified_Count,S_EHR_Paper_%,S_EHR_Non-Certified_%,S_EHR_Certified_%,S_HIE_Measure_Description,S_HIE_Yes_Count,S_HIE_No_Count,S_HIE_Yes_%,S_HIE_No_%,Start_Date,End_Date,S_FUH_Measure_Description,S_FUH-30_%,S_FUH-30_Numerator,S_FUH-30_Denominator,S_FUH-7_%,S_FUH-7_Numerator,S_FUH-7_Denominator,S_FUH_Measure_Start_Date,S_FUH_Measure_End_Date
"CA","Hours of physical-restraint use","0.58","19916.94","1442741","0.28","155.74","23179","0.66","2045.65","129025","0.65","17425.79","1123218","0.07","289.76","167319","Hours of Seclusion","0.48","16481.54","1439829","0.33","177.15","22161","0.65","2011.27","129025","0.52","14064.13","1123314","0.06","228.99","165329","Patients discharged on multiple antipsychotic medications","9.32","3706","39753","1.34","15","1121","2.43","80","3293","10.47","2905","27743","9.29","706","7596","Patients discharged on multiple antipsychotic medications with appropriate justification","24.80","1883","7592","50.00","5","10","45.59","31","68","24.08","1487","6176","26.91","360","1338","Post-discharge continuing care plan created","84.70","49974","58998","86.72","1861","2146","85.48","6046","7073","82.04","29771","36290","91.16","12296","13489","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","74.15","40527","54654","80.52","1728","2146","76.36","5401","7073","71.53","24965","34901","80.06","8433","10534","Alcohol Use Screening","74.42","30002","40314","Assessment of Patient Experience of Care","60","29","67.42","32.58","Highest level typical use of an EHR system","57","0","32","64.04","0.00","35.96","Interoperable health information exchanged with HISP","25","64","28.09","71.91","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MI","Hours of physical-restraint use","0.79","17695.58","930545","0.51","142.24","11513","0.13","205.27","65217","0.31","5578.53","747242","4.60","11769.54","106573","Hours of Seclusion","0.08","1777.17","965997","0.54","149.76","11513","0.07","83.29","52400","0.07","1360.37","791003","0.07","183.75","111081","Patients discharged on multiple antipsychotic medications","8.52","2592","30435","3.00","25","834","2.75","42","1530","9.38","2254","24041","6.72","271","4030","Patients discharged on multiple antipsychotic medications with appropriate justification","12.99","1467","11295","82.61","19","23","68.42","26","38","12.18","1302","10694","22.22","120","540","Post-discharge continuing care plan created","68.15","26894","39462","94.42","1168","1237","91.94","2534","2756","64.28","19172","29828","71.26","4020","5641","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","62.64","24724","39467","82.78","1024","1237","82.84","2283","2756","60.11","17923","29815","61.74","3494","5659","Alcohol Use Screening","78.44","21618","27561","Assessment of Patient Experience of Care","40","18","68.97","31.03","Highest level typical use of an EHR system","33","3","22","56.90","5.17","37.93","Interoperable health information exchanged with HISP","16","42","27.59","72.41","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MN","Hours of physical-restraint use","0.73","7943.15","455271","0.73","72.6","4132","0.44","225.26","21316","0.39","3562.27","375956","3.16","4083.02","53867","Hours of Seclusion","0.45","4916.32","455268","1.90","188.41","4132","0.42","214.77","21316","0.48","4345.6","375953","0.13","167.54","53867","Patients discharged on multiple antipsychotic medications","11.63","705","6062","0.00","0","125","5.26","9","171","14.73","567","3849","6.73","129","1917","Patients discharged on multiple antipsychotic medications with appropriate justification","68.96","451","654","0.00","0","0","57.14","4","7","69.98","366","523","65.32","81","124","Post-discharge continuing care plan created","78.12","8001","10242","97.75","348","356","90.94","813","894","76.11","4907","6447","75.95","1933","2545","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","70.66","7237","10242","92.42","329","356","80.09","716","894","68.31","4405","6449","70.27","1787","2543","Alcohol Use Screening","62.53","5847","9351","Assessment of Patient Experience of Care","30","2","93.75","6.25","Highest level typical use of an EHR system","16","0","16","50.00","0.00","50.00","Interoperable health information exchanged with HISP","10","22","31.25","68.75","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MA","Hours of physical-restraint use","0.19","3768.37","813130","0.27","68.22","10532","0.35","415.47","50005","0.19","2839.65","619003","0.14","445.03","133590","Hours of Seclusion","0.07","1317.88","804551","0.62","156.01","10532","0.06","69.3","50045","0.07","1044.16","615755","0.02","48.41","128219","Patients discharged on multiple antipsychotic medications","11.41","2276","19950","0.57","2","349","3.88","34","876","13.07","1982","15161","7.24","258","3564","Patients discharged on multiple antipsychotic medications with appropriate justification","31.22","1189","3809","50.00","1","2","57.58","19","33","32.55","1030","3164","22.79","139","610","Post-discharge continuing care plan created","83.27","26419","31728","65.91","520","789","79.87","1651","2067","86.31","20115","23305","74.24","4133","5567","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","70.79","22420","31670","51.46","406","789","70.00","1449","2070","72.67","16860","23201","66.04","3705","5610","Alcohol Use Screening","60.22","21179","35167","Assessment of Patient Experience of Care","36","15","70.59","29.41","Highest level typical use of an EHR system","34","6","11","66.67","11.76","21.57","Interoperable health information exchanged with HISP","10","41","19.61","80.39","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NV","Hours of physical-restraint use","0.32","1618.96","213198","0.31","35.06","4779","0.13","44.77","14319","0.30","1133.76","155866","0.44","405.37","38234","Hours of Seclusion","0.15","770.45","216358","0.49","55.86","4779","0.13","43","14319","0.17","662.9","159126","0.01","8.69","38134","Patients discharged on multiple antipsychotic medications","12.85","563","4383","0.92","2","218","4.22","13","308","14.99","444","2961","11.61","104","896","Patients discharged on multiple antipsychotic medications with appropriate justification","56.08","355","633","50.00","1","2","11.11","1","9","59.58","286","480","47.18","67","142","Post-discharge continuing care plan created","92.40","10729","11612","98.47","707","718","97.72","984","1007","91.50","7441","8132","91.00","1597","1755","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","87.75","10189","11612","94.99","682","718","92.95","936","1007","86.55","7038","8132","87.35","1533","1755","Alcohol Use Screening","58.66","4229","7209","Assessment of Patient Experience of Care","11","4","73.33","26.67","Highest level typical use of an EHR system","10","0","5","66.67","0.00","33.33","Interoperable health information exchanged with HISP","3","12","20.00","80.00","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WA","Hours of physical-restraint use","1.37","19972.86","605645","0.00","0","0","0.37","75.3","8542","1.26","15713.93","520930","2.29","4183.63","76173","Hours of Seclusion","1.58","22905.21","605669","0.00","0","0","3.20","657.65","8566","1.75","21901.19","520930","0.19","346.37","76173","Patients discharged on multiple antipsychotic medications","11.16","517","4634","0.00","0","0","1.71","2","117","12.55","452","3601","6.88","63","916","Patients discharged on multiple antipsychotic medications with appropriate justification","33.20","163","491","0.00","0","0","50.00","1","2","34.51","147","426","23.81","15","63","Post-discharge continuing care plan created","73.29","4972","6784","0.00","0","0","90.35","234","259","74.39","3874","5208","65.60","864","1317","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","59.83","4053","6774","0.00","0","0","71.43","185","259","60.25","3132","5198","55.88","736","1317","Alcohol Use Screening","15.28","4298","28124","Assessment of Patient Experience of Care","11","5","68.75","31.25","Highest level typical use of an EHR system","10","1","5","62.50","6.25","31.25","Interoperable health information exchanged with HISP","5","11","31.25","68.75","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PR","Hours of physical-restraint use","0.32","1003.5","132308","0.00","0","188","0.31","110.41","15012","0.34","849.65","104884","0.15","43.44","12224","Hours of Seclusion","0.04","119.84","132308","0.00","0","188","0.02","5.58","15012","0.05","114.26","104884","0.00","0","12224","Patients discharged on multiple antipsychotic medications","19.43","1008","5187","15.00","3","20","33.03","144","436","18.71","687","3672","16.43","174","1059","Patients discharged on multiple antipsychotic medications with appropriate justification","40.22","919","2285","100.00","2","2","100.00","138","138","39.69","622","1567","27.16","157","578","Post-discharge continuing care plan created","99.39","5867","5903","100.00","29","29","100.00","555","555","99.32","4106","4134","99.32","1177","1185","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","87.97","5193","5903","93.10","27","29","91.17","506","555","87.35","3611","4134","88.52","1049","1185","Alcohol Use Screening","32.30","1862","5765","Assessment of Patient Experience of Care","5","2","71.43","28.57","Highest level typical use of an EHR system","7","0","0","100.00","0.00","0.00","Interoperable health information exchanged with HISP","2","5","28.57","71.43","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IN","Hours of physical-restraint use","1.56","16968.87","452694","0.26","149.13","23477","0.21","239.17","47674","0.80","5268.83","273149","4.35","11311.74","108394","Hours of Seclusion","0.21","2250.02","445142","0.13","70.44","23477","0.07","81.78","47674","0.29","1854.02","266159","0.09","243.78","107832","Patients discharged on multiple antipsychotic medications","10.20","1318","12924","3.92","48","1224","3.81","51","1338","12.02","776","6455","11.34","443","3907","Patients discharged on multiple antipsychotic medications with appropriate justification","45.75","576","1259","39.13","18","46","27.27","12","44","53.17","394","741","35.51","152","428","Post-discharge continuing care plan created","86.47","17906","20707","90.44","1732","1915","83.46","2266","2715","88.37","9061","10254","83.24","4847","5823","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","81.35","16848","20711","88.30","1691","1915","79.78","2166","2715","80.22","8232","10262","81.78","4759","5819","Alcohol Use Screening","75.21","8779","11673","Assessment of Patient Experience of Care","42","9","82.35","17.65","Highest level typical use of an EHR system","28","2","21","54.90","3.92","41.18","Interoperable health information exchanged with HISP","17","34","33.33","66.67","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Hours of physical-restraint use","0.16","5305.06","1414311","0.10","139.2","59935","0.06","245.94","165694","0.20","4845.89","998727","0.02","74.03","189955","Hours of Seclusion","0.06","2359.78","1749123","0.19","272.7","60181","0.06","241.89","166214","0.06","1808.09","1313254","0.01","37.1","209474","Patients discharged on multiple antipsychotic medications","6.41","2862","44643","1.48","43","2913","1.68","71","4217","8.57","2223","25948","4.54","525","11565","Patients discharged on multiple antipsychotic medications with appropriate justification","17.46","1413","8091","39.47","15","38","55.56","35","63","36.16","1125","3111","4.88","238","4879","Post-discharge continuing care plan created","85.18","57405","67394","95.86","4420","4611","94.06","7582","8061","88.46","34546","39052","69.29","10857","15670","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","77.83","52420","67352","86.73","3999","4611","83.97","6769","8061","80.48","31449","39077","65.39","10203","15603","Alcohol Use Screening","67.12","29938","44605","Assessment of Patient Experience of Care","84","26","76.36","23.64","Highest level typical use of an EHR system","79","3","28","71.82","2.73","25.45","Interoperable health information exchanged with HISP","27","83","24.55","75.45","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ID","Hours of physical-restraint use","0.08","167.11","88852","0.34","12.07","1459","0.05","17.15","15853","0.08","130.89","66541","0.06","7","4999","Hours of Seclusion","0.33","716.89","91201","1.95","68.45","1459","0.14","53.25","15853","0.35","578.65","68738","0.13","16.54","5151","Patients discharged on multiple antipsychotic medications","21.91","513","2341","12.50","11","88","4.40","11","250","27.23","467","1715","8.33","24","288","Patients discharged on multiple antipsychotic medications with appropriate justification","85.92","421","490","90.00","9","10","81.82","9","11","88.14","394","447","40.91","9","22","Post-discharge continuing care plan created","98.80","3636","3680","96.82","152","157","99.35","607","611","98.82","2434","2463","98.66","443","449","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","95.19","3837","4031","96.18","151","157","97.87","598","611","94.67","2665","2815","94.42","423","448","Alcohol Use Screening","34.21","2313","6761","Assessment of Patient Experience of Care","5","3","62.50","37.50","Highest level typical use of an EHR system","4","1","3","50.00","12.50","37.50","Interoperable health information exchanged with HISP","3","5","37.50","62.50","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"KY","Hours of physical-restraint use","0.43","8927.74","861225","0.33","93.96","11689","0.09","99.73","43870","0.17","2814.72","707256","2.51","5919.33","98410","Hours of Seclusion","0.08","1608.03","861225","0.42","117.75","11689","0.18","194.1","43870","0.07","1272.96","707256","0.01","23.22","98410","Patients discharged on multiple antipsychotic medications","9.18","846","9211","0.58","3","521","1.19","8","670","12.18","745","6117","4.73","90","1903","Patients discharged on multiple antipsychotic medications with appropriate justification","75.29","585","777","33.33","1","3","12.50","1","8","77.50","527","680","65.12","56","86","Post-discharge continuing care plan created","91.76","14222","15499","93.58","1050","1122","90.33","1541","1706","92.30","9077","9834","90.02","2554","2837","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","87.02","13488","15499","90.64","1017","1122","87.98","1501","1706","86.70","8526","9834","86.15","2444","2837","Alcohol Use Screening","91.28","9351","10244","Assessment of Patient Experience of Care","15","10","60.00","40.00","Highest level typical use of an EHR system","18","0","7","72.00","0.00","28.00","Interoperable health information exchanged with HISP","6","19","24.00","76.00","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WV","Hours of physical-restraint use","0.37","2203.06","245483","1.23","398.98","13496","0.62","399.88","26843","0.32","1391.04","180855","0.02","13.16","24289","Hours of Seclusion","0.14","828.79","245483","0.62","201.35","13496","0.05","30.06","26843","0.13","584.85","180855","0.02","12.53","24289","Patients discharged on multiple antipsychotic medications","9.73","527","5418","1.43","6","420","2.08","19","915","13.53","453","3349","6.68","49","734","Patients discharged on multiple antipsychotic medications with appropriate justification","25.15","124","493","16.67","1","6","44.44","8","18","22.17","94","424","46.67","21","45","Post-discharge continuing care plan created","87.49","9168","10479","97.02","880","907","95.03","1798","1892","84.70","5437","6419","83.51","1053","1261","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","76.27","8013","10506","71.48","649","908","76.80","1453","1892","76.20","4891","6419","79.25","1020","1287","Alcohol Use Screening","77.50","4861","6272","Assessment of Patient Experience of Care","15","0","100.00","0.00","Highest level typical use of an EHR system","11","0","4","73.33","0.00","26.67","Interoperable health information exchanged with HISP","3","12","20.00","80.00","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SC","Hours of physical-restraint use","0.03","869.93","1193152","0.02","54.76","136107","0.01","97.37","394578","0.05","693.98","578979","0.01","23.82","83488","Hours of Seclusion","0.06","1597.22","1188490","0.05","158.82","136107","0.03","252.45","394576","0.08","1051.07","574599","0.07","134.88","83208","Patients discharged on multiple antipsychotic medications","9.47","628","6630","1.89","4","212","5.63","25","444","10.60","491","4633","8.05","108","1341","Patients discharged on multiple antipsychotic medications with appropriate justification","23.28","389","1671","8.33","2","24","14.94","13","87","22.31","305","1367","35.75","69","193","Post-discharge continuing care plan created","85.33","11106","13015","80.17","659","822","77.85","1434","1842","88.16","7090","8042","83.28","1923","2309","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","78.82","10258","13015","63.87","525","822","68.62","1264","1842","83.03","6677","8042","77.61","1792","2309","Alcohol Use Screening","88.05","8680","9858","Assessment of Patient Experience of Care","18","5","78.26","21.74","Highest level typical use of an EHR system","13","0","10","56.52","0.00","43.48","Interoperable health information exchanged with HISP","6","17","26.09","73.91","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Hours of physical-restraint use","0.16","26738.89","6832327","0.14","587.22","175215","0.06","837.52","591759","0.16","18951.09","5087921","0.27","6363.06","977432","Hours of Seclusion","0.09","13737.56","6725312","0.64","2674.06","175314","0.28","4008.85","591768","0.06","6825.59","4992878","0.01","229.06","965352","Patients discharged on multiple antipsychotic medications","11.15","5197","46609","2.54","76","2998","2.80","186","6632","14.29","4508","31538","7.85","427","5441","Patients discharged on multiple antipsychotic medications with appropriate justification","42.09","3314","7873","18.72","44","235","19.84","122","615","45.78","2947","6438","34.36","201","585","Post-discharge continuing care plan created","91.16","57694","63286","93.49","3890","4161","96.57","10275","10640","90.85","37149","40889","83.99","6380","7596","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","85.19","53919","63291","89.35","3718","4161","91.78","9766","10641","84.64","34622","40906","76.66","5813","7583","Alcohol Use Screening","70.59","33555","47532","Assessment of Patient Experience of Care","83","24","77.57","22.43","Highest level typical use of an EHR system","73","1","33","68.22","0.93","30.84","Interoperable health information exchanged with HISP","32","75","29.91","70.09","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MO","Hours of physical-restraint use","0.17","3171.35","757734","0.28","222.71","33149","0.15","224.27","63950","0.22","2696.7","522297","0.01","27.67","138338","Hours of Seclusion","0.07","1290.33","757730","0.46","363.45","33149","0.10","160.32","63950","0.06","712.28","522294","0.02","54.28","138337","Patients discharged on multiple antipsychotic medications","10.27","1769","17229","2.52","41","1626","2.28","47","2058","13.26","1377","10386","9.62","304","3159","Patients discharged on multiple antipsychotic medications with appropriate justification","42.12","663","1574","56.41","22","39","55.56","25","45","42.92","518","1207","34.63","98","283","Post-discharge continuing care plan created","85.48","20409","23876","98.79","2211","2238","98.94","3179","3213","84.12","11751","13969","73.34","3268","4456","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","75.44","18806","24929","94.95","2125","2238","95.02","3053","3213","70.49","10383","14730","68.34","3245","4748","Alcohol Use Screening","71.55","10260","14340","Assessment of Patient Experience of Care","31","13","70.45","29.55","Highest level typical use of an EHR system","25","4","15","56.82","9.09","34.09","Interoperable health information exchanged with HISP","12","32","27.27","72.73","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Hours of physical-restraint use","0.25","1525.02","255055","0.04","9.11","10463","0.02","9.69","24265","0.20","736.46","156311","0.50","769.76","64016","Hours of Seclusion","0.09","549.63","266753","0.26","65.09","10463","0.13","75.87","24265","0.08","317.59","167405","0.06","91.08","64620","Patients discharged on multiple antipsychotic medications","9.64","882","9149","2.53","11","434","2.99","25","836","12.35","644","5216","7.59","202","2663","Patients discharged on multiple antipsychotic medications with appropriate justification","40.16","602","1499","77.78","7","9","86.36","19","22","37.46","433","1156","45.83","143","312","Post-discharge continuing care plan created","84.19","10923","12974","97.79","576","589","98.95","1784","1803","82.81","5729","6918","77.35","2834","3664","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","80.94","10500","12972","95.25","561","589","97.56","1759","1803","78.93","5463","6921","74.26","2717","3659","Alcohol Use Screening","76.97","7817","10156","Assessment of Patient Experience of Care","19","14","57.58","42.42","Highest level typical use of an EHR system","23","0","10","69.70","0.00","30.30","Interoperable health information exchanged with HISP","10","23","30.30","69.70","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SD","Hours of physical-restraint use","0.73","545.09","31273","4.31","3","29","4.92","29.42","249","1.04","488.11","19631","0.09","24.56","11364","Hours of Seclusion","8.33","4463.29","22336","6.21","4.32","29","20.64","123.37","249","8.99","4159.68","19271","2.63","175.92","2787","Patients discharged on multiple antipsychotic medications","9.30","81","871","4.48","3","67","3.92","2","51","13.87","57","411","5.56","19","342","Patients discharged on multiple antipsychotic medications with appropriate justification","45.90","28","61","100.00","1","1","0.00","0","1","41.86","18","43","56.25","9","16","Post-discharge continuing care plan created","86.77","1344","1549","85.61","119","139","90.09","209","232","82.62","580","702","91.60","436","476","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","77.65","1202","1548","68.84","95","138","76.72","178","232","75.07","527","702","84.45","402","476","Alcohol Use Screening","87.70","656","748","Assessment of Patient Experience of Care","3","1","75.00","25.00","Highest level typical use of an EHR system","2","0","2","50.00","0.00","50.00","Interoperable health information exchanged with HISP","2","2","50.00","50.00","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","Hours of physical-restraint use","0.73","7081.27","404462","0.10","12.62","5145","0.14","149.51","45973","0.92","6764.88","306963","0.14","154.26","46381","Hours of Seclusion","0.07","678.31","409015","0.26","32.59","5145","0.04","46.92","45973","0.08","579.13","308639","0.02","19.67","49258","Patients discharged on multiple antipsychotic medications","7.92","674","8513","2.68","6","224","2.75","19","690","8.32","495","5949","9.33","154","1650","Patients discharged on multiple antipsychotic medications with appropriate justification","51.49","328","637","50.00","3","6","31.58","6","19","63.89","299","468","13.89","20","144","Post-discharge continuing care plan created","92.44","11905","12878","99.28","414","417","94.92","1438","1515","93.00","7733","8315","88.18","2320","2631","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","86.86","11186","12878","94.96","396","417","89.83","1361","1515","88.74","7379","8315","77.92","2050","2631","Alcohol Use Screening","87.36","9715","11121","Assessment of Patient Experience of Care","22","4","84.62","15.38","Highest level typical use of an EHR system","13","0","13","50.00","0.00","50.00","Interoperable health information exchanged with HISP","11","15","42.31","57.69","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
