Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Respiratory,Other,Footnote,Start_Date,End_Date
"010097","ELMORE COMMUNITY HOSPITAL","OP-26","146","62","0","19","17","24","0","5","0","","01/01/2014","12/31/2014"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","OP-26","333","0","7","23","458","18","56","1","8","","01/01/2014","12/31/2014"
"010100","THOMAS HOSPITAL","OP-26","4200","251","1858","1368","145","275","147","62","113","","01/01/2014","12/31/2014"
"010101","CITIZENS BMC","OP-26","2093","303","478","91","15","48","23","2","65","","01/01/2014","12/31/2014"
"010102","J PAUL JONES HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","OP-26","5562","1157","1251","675","200","153","432","92","358","","01/01/2014","12/31/2014"
"010104","TRINITY MEDICAL CENTER","OP-26","2135","382","2091","1684","3073","239","129","268","102","","01/01/2014","12/31/2014"
"010108","PRATTVILLE BAPTIST HOSPITAL","OP-26","2498","399","1","39","32","1","28","0","7","","01/01/2014","12/31/2014"
"010109","PICKENS COUNTY MEDICAL CENTER","OP-26","24","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010110","BULLOCK COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","OP-26","533","168","34","123","254","79","22","0","51","","01/01/2014","12/31/2014"
"010113","MOBILE INFIRMARY MEDICAL CENTER","OP-26","9970","380","4333","433","265","585","678","387","223","","01/01/2014","12/31/2014"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","OP-26","2263","979","167","647","717","101","129","12","15","","01/01/2014","12/31/2014"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","OP-26","1171","268","39","106","63","274","182","44","6","","01/01/2014","12/31/2014"
"010120","MONROE COUNTY HOSPITAL","OP-26","1033","0","0","10","7","9","0","1","150","","01/01/2014","12/31/2014"
"010125","LAKELAND COMMUNITY HOSPITAL","OP-26","161","0","0","0","4","0","2","0","0","","01/01/2014","12/31/2014"
"010126","TROY REGIONAL MEDICAL CENTER","OP-26","1305","0","273","105","29","36","36","0","0","","01/01/2014","12/31/2014"
"010128","JACKSON MEDICAL CENTER","OP-26","20","22","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010129","NORTH BALDWIN INFIRMARY","OP-26","679","68","124","64","28","30","41","2","14","","01/01/2014","12/31/2014"
"010130","ST VINCENT'S ST CLAIR","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"010131","CRESTWOOD MEDICAL CENTER","OP-26","6790","0","3554","1611","1614","400","223","76","95","","01/01/2014","12/31/2014"
"010138","HILL HOSPITAL OF SUMTER COUNTY","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010139","BROOKWOOD MEDICAL CENTER","OP-26","2748","516","3291","2205","2427","1309","666","196","252","","01/01/2014","12/31/2014"
"010144","SPRINGHILL MEDICAL CENTER","OP-26","2260","0","544","142","1353","692","726","15","0","","01/01/2014","12/31/2014"
"010146","RMC JACKSONVILLE","OP-26","381","123","0","57","26","58","0","0","1089","","01/01/2014","12/31/2014"
"010148","EVERGREEN MEDICAL CENTER","OP-26","253","0","123","1","6","0","6","0","0","","01/01/2014","12/31/2014"
"010149","BAPTIST MEDICAL CENTER EAST","OP-26","8405","0","18","102","111","186","104","5","14","","01/01/2014","12/31/2014"
"010150","L V STABLER MEMORIAL HOSPITAL","OP-26","796","62","22","115","19","23","5","0","2","","01/01/2014","12/31/2014"
"010157","SHOALS HOSPITAL","OP-26","2497","0","39","33","47","78","48","9","22","","01/01/2014","12/31/2014"
"010158","RUSSELLVILLE HOSPITAL","OP-26","882","188","164","287","66","144","40","0","12","","01/01/2014","12/31/2014"
"010164","COOSA VALLEY MEDICAL CENTER","OP-26","1590","441","117","293","689","205","65","0","2","","01/01/2014","12/31/2014"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","OP-26","66","0","157","411","272","0","0","0","0","","01/01/2014","12/31/2014"
"010169","ATMORE COMMUNITY HOSPITAL","OP-26","783","0","48","2","13","11","24","4","3","","01/01/2014","12/31/2014"
"011300","WASHINGTON COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"011302","RED BAY HOSPITAL","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"011304","CHOCTAW GENERAL HOSPITAL","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"011305","ST VINCENTS BLOUNT","OP-26","342","0","0","112","0","51","175","0","280","","01/01/2014","12/31/2014"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","OP-26","2913","554","29","332","340","384","113","56","234","","01/01/2014","12/31/2014"
"020006","MAT-SU REGIONAL MEDICAL CENTER","OP-26","3615","429","116","404","91","736","165","76","25","","01/01/2014","12/31/2014"
"020008","BARTLETT REGIONAL HOSPITAL","OP-26","793","22","79","203","3","109","25","1","13","","01/01/2014","12/31/2014"
"020012","FAIRBANKS MEMORIAL HOSPITAL","OP-26","2509","619","733","567","294","178","239","24","29","","01/01/2014","12/31/2014"
"020017","ALASKA REGIONAL HOSPITAL","OP-26","1824","435","38","316","57","160","221","71","50","","01/01/2014","12/31/2014"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","OP-26","576","239","483","354","26","105","46","8","23","","01/01/2014","12/31/2014"
"021303","SITKA COMMUNITY HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","5","01/01/2014","12/31/2014"
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CENTER","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"021311","PEACEHEALTH KETCHIKAN MEDICAL CENTER","OP-26","1092","83","175","247","55","65","20","0","0","","01/01/2014","12/31/2014"
"021313","SOUTH PENINSULA HOSPITAL","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"030001","ABRAZO MARYVALE CAMPUS","OP-26","399","0","0","4","17","6","4","0","1","","01/01/2014","12/31/2014"
"030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","OP-26","2473","0","198","1292","3301","344","1588","239","149","","01/01/2014","12/31/2014"
"030006","TUCSON MEDICAL CENTER","OP-26","1834","157","6485","2792","5629","837","368","334","199","","01/01/2014","12/31/2014"
"030007","VERDE VALLEY MEDICAL CENTER","OP-26","3146","3","51","581","44","121","126","49","62","","01/01/2014","12/31/2014"
"030010","ST. MARY'S HOSPITAL","OP-26","5695","0","6","582","1263","118","574","0","59","","01/01/2014","12/31/2014"
"030011","ST JOSEPH'S HOSPITAL","OP-26","1200","594","0","1185","1212","283","232","0","92","","01/01/2014","12/31/2014"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","OP-26","3355","0","50","168","42","169","74","12","36","","01/01/2014","12/31/2014"
"030013","YUMA REGIONAL MEDICAL CENTER","OP-26","1116","80","56","644","59","538","1386","279","56","","01/01/2014","12/31/2014"
"030014","HONORHEALTH JOHN C LINCOLN MEDICAL CENTER","OP-26","1781","0","1082","496","211","192","266","296","46","","01/01/2014","12/31/2014"
"030016","BANNER CASA GRANDE MEDICAL CENTER","OP-26","1701","0","87","411","666","264","125","39","111","","01/01/2014","12/31/2014"
"030022","MARICOPA MEDICAL CENTER","OP-26","1110","286","0","191","132","186","11","0","31","","01/01/2014","12/31/2014"
"030023","FLAGSTAFF MEDICAL CENTER","OP-26","534","10","141","553","288","183","137","71","73","","01/01/2014","12/31/2014"
"030024","ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","OP-26","2364","0","435","388","185","589","432","872","19","","01/01/2014","12/31/2014"
"030030","ABRAZO CENTRAL CAMPUS","OP-26","3892","0","19","1128","1873","129","163","263","499","","01/01/2014","12/31/2014"
"030033","BANNER PAYSON MEDICAL CENTER","OP-26","1190","242","667","132","22","42","44","14","5","","01/01/2014","12/31/2014"
"030036","CHANDLER REGIONAL MEDICAL CENTER","OP-26","161","0","135","321","6345","607","1352","257","324","","01/01/2014","12/31/2014"
"030037","ST LUKE'S MEDICAL CENTER","OP-26","2400","1085","9231","1074","50","150","295","30","1","","01/01/2014","12/31/2014"
"030038","HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER","OP-26","4101","168","105","903","295","66","41","56","127","","01/01/2014","12/31/2014"
"030043","CANYON VISTA MEDICAL CENTER","OP-26","4539","0","115","353","110","157","96","26","48","","01/01/2014","12/31/2014"
"030055","KINGMAN REGIONAL MEDICAL CENTER","OP-26","508","0","212","129","872","32","119","702","0","","01/01/2014","12/31/2014"
"030061","BANNER BOSWELL MEDICAL CENTER","OP-26","1843","0","447","996","1823","451","1520","294","268","","01/01/2014","12/31/2014"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","OP-26","1074","15","576","898","2886","187","30","36","15","","01/01/2014","12/31/2014"
"030064","BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","OP-26","1420","859","117","238","149","224","75","336","324","","01/01/2014","12/31/2014"
"030065","BANNER DESERT MEDICAL CENTER","OP-26","2861","0","850","850","502","582","1110","289","366","","01/01/2014","12/31/2014"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","OP-26","1362","0","79","221","47","3","16","0","14","","01/01/2014","12/31/2014"
"030069","HAVASU REGIONAL MEDICAL CENTER","OP-26","2383","0","1869","1154","3002","548","540","147","0","","01/01/2014","12/31/2014"
"030077","SAN CARLOS APACHE HEALTHCARE CORP","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"030083","ABRAZO SCOTTSDALE CAMPUS","OP-26","773","0","89","1679","2478","246","113","49","14","","01/01/2014","12/31/2014"
"030085","NORTHWEST MEDICAL CENTER","OP-26","6173","435","962","1600","1762","642","274","162","349","","01/01/2014","12/31/2014"
"030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","OP-26","3670","0","250","1414","572","976","102","133","572","","01/01/2014","12/31/2014"
"030088","BANNER BAYWOOD MEDICAL CENTER","OP-26","1795","0","217","815","4856","613","374","229","172","","01/01/2014","12/31/2014"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","OP-26","2286","0","234","1322","808","681","1190","265","193","","01/01/2014","12/31/2014"
"030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","OP-26","5215","0","195","865","487","426","341","220","350","","01/01/2014","12/31/2014"
"030093","BANNER DEL E WEBB MEDICAL CENTER","OP-26","3279","0","586","1559","173","574","649","228","177","","01/01/2014","12/31/2014"
"030094","ARROWHEAD HOSPITAL","OP-26","2742","0","100","626","544","566","298","232","116","","01/01/2014","12/31/2014"
"030101","WESTERN ARIZONA REGIONAL MEDICAL CENTER","OP-26","2702","0","174","255","2547","142","141","66","25","","01/01/2014","12/31/2014"
"030103","MAYO CLINIC HOSPITAL","OP-26","3201","0","3060","2439","497","481","1322","327","454","","01/01/2014","12/31/2014"
"030105","BANNER HEART HOSPITAL","OP-26","3","0","0","0","6","0","1497","0","0","","01/01/2014","12/31/2014"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","OP-26","0","0","0","9","0","0","0","0","0","","01/01/2014","12/31/2014"
"030108","THE SURGICAL HOSPITAL OF PHOENIX","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"030110","ABRAZO WEST CAMPUS","OP-26","3290","0","79","195","1026","173","129","62","21","","01/01/2014","12/31/2014"
"030111","BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","OP-26","994","1005","1186","523","52","135","10","0","1","","01/01/2014","12/31/2014"
"030112","ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL","OP-26","1","0","121","1332","14","0","6","0","1","","01/01/2014","12/31/2014"
"030114","ORO VALLEY HOSPITAL","OP-26","2750","226","315","425","71","952","56","32","6","","01/01/2014","12/31/2014"
"030115","BANNER ESTRELLA MEDICAL CENTER","OP-26","2048","0","109","399","91","745","520","137","68","","01/01/2014","12/31/2014"
"030117","VALLEY VIEW MEDICAL CENTER","OP-26","742","53","208","310","771","370","63","29","6","","01/01/2014","12/31/2014"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS","OP-26","14","0","20","243","50","40","51","0","69","","01/01/2014","12/31/2014"
"030119","MERCY GILBERT MEDICAL CENTER","OP-26","1098","0","104","1058","210","261","813","121","173","","01/01/2014","12/31/2014"
"030120","GILBERT HOSPITAL","OP-26","25","0","3","4","2","1","0","0","0","","01/01/2014","12/31/2014"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","OP-26","2013","299","1792","570","99","359","113","40","10","","01/01/2014","12/31/2014"
"030122","BANNER GATEWAY MEDICAL CENTER","OP-26","1348","28","111","778","335","454","526","124","432","","01/01/2014","12/31/2014"
"030123","HONORHEALTH SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","OP-26","2490","0","4","173","32","171","17","30","13","","01/01/2014","12/31/2014"
"030130","BANNER IRONWOOD MEDICAL CENTER","OP-26","589","0","19","222","40","55","9","6","1","","01/01/2014","12/31/2014"
"030131","O.A.S.I.S. HOSPITAL","OP-26","0","0","0","898","0","0","0","0","0","","01/01/2014","12/31/2014"
"030132","FLORENCE HOSPITAL AT ANTHEM, LLC","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"030134","BANNER GOLDFIELD MEDICAL CENTER","OP-26","45","0","3","1","6","0","1","0","0","","01/01/2014","12/31/2014"
"030136","DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"030137","GREEN VALLEY HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","5","01/01/2014","12/31/2014"
"031300","WICKENBURG COMMUNITY HOSPITAL","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"031304","PAGE HOSPITAL","OP-26","112","0","142","8","16","6","6","0","0","","01/01/2014","12/31/2014"
"031309","SAGE MEMORIAL HOSPITAL","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"031312","COPPER QUEEN COMMUNITY HOSPITAL","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","5","01/01/2014","12/31/2014"
"031313","HOLY CROSS HOSPITAL","OP-26","878","0","0","106","533","47","0","0","0","","01/01/2014","12/31/2014"
"031314","COBRE VALLEY REGIONAL MEDICAL CENTER","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"031315","WHITE MOUNTAIN REGIONAL MEDICAL CENTER","OP-26","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","Not Available(5)","","01/01/2014","12/31/2014"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","OP-26","939","448","20","125","16","11","6","0","0","","01/01/2014","12/31/2014"
"040002","JOHNSON REGIONAL MEDICAL CENTER","OP-26","676","64","50","12","5","93","43","1","6","","01/01/2014","12/31/2014"
"040004","WASHINGTON REGIONAL MEDICAL CENTER","OP-26","1102","0","190","1186","1546","393","1669","115","77","","01/01/2014","12/31/2014"
"040007","CHI-ST VINCENT INFIRMARY","OP-26","1113","0","1111","694","4592","621","537","307","48","","01/01/2014","12/31/2014"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","OP-26","9469","0","6553","945","5166","473","337","165","151","","01/01/2014","12/31/2014"
"040011","CHAMBERS MEMORIAL HOSPITAL","OP-26","392","318","3","2","47","53","7","0","0","","01/01/2014","12/31/2014"
"040014","WHITE COUNTY MEDICAL CENTER","OP-26","440","0","112","354","68","270","104","103","31","","01/01/2014","12/31/2014"
"040015","MENA REGIONAL HEALTH SYSTEM","OP-26","475","198","0","51","36","1","11","0","30","","01/01/2014","12/31/2014"
"040016","UAMS MEDICAL CENTER","OP-26","3684","1472","943","4542","3612","1169","5440","1306","324","","01/01/2014","12/31/2014"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","OP-26","1393","0","10","211","2","383","94","0","8","","01/01/2014","12/31/2014"
"040018","SPARKS MEDICAL CENTER VAN BUREN","OP-26","328","0","114","44","142","37","8","1","3","","01/01/2014","12/31/2014"
"040019","FORREST CITY MEDICAL CENTER","OP-26","243","11","0","6","15","60","12","0","1","","01/01/2014","12/31/2014"
"040020","ST BERNARDS MEDICAL CENTER","OP-26","483","0","101","775","6352","344","862","152","2","","01/01/2014","12/31/2014"
"040022","NORTHWEST MEDICAL CENTER-SPRINGDALE","OP-26","4569","37","582","664","381","337","387","53","28","","01/01/2014","12/31/2014"
"040026","ST VINCENT HOT SPRINGS","OP-26","3566","1606","478","1072","117","826","327","309","85","","01/01/2014","12/31/2014"
"040027","BAXTER REGIONAL MEDICAL CENTER","OP-26","700","50","50","500","50","150","350","100","50","","01/01/2014","12/31/2014"
"040029","CONWAY REGIONAL MEDICAL CENTER","OP-26","2023","874","86","2291","2","2018","706","40","4466","","01/01/2014","12/31/2014"
"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","OP-26","1490","0","132","1936","1084","457","500","385","9","","01/01/2014","12/31/2014"
"040039","ARKANSAS METHODIST MEDICAL CENTER","OP-26","1158","95","597","132","26","50","138","5","16","","01/01/2014","12/31/2014"
"040041","ST MARYS REGIONAL MEDICAL CENTER","OP-26","1866","226","0","745","0","206","1937","15","1600","","01/01/2014","12/31/2014"
"040047","FIVE RIVERS MEDICAL CENTER","OP-26","460","0","0","156","0","0","0","0","0","","01/01/2014","12/31/2014"
"040050","OUACHITA COUNTY MEDICAL CENTER","OP-26","859","395","141","117","67","143","51","5","1","","01/01/2014","12/31/2014"
"040051","DREW MEMORIAL HOSPITAL","OP-26","336","339","0","0","0","41","0","0","449","","01/01/2014","12/31/2014"
"040055","SPARKS REGIONAL MEDICAL CENTER","OP-26","6562","61","189","269","3132","420","660","284","45","","01/01/2014","12/31/2014"
"040062","MERCY HOSPITAL FORT SMITH","OP-26","1069","345","6565","1843","3361","363","1702","50","89","","01/01/2014","12/31/2014"
"040067","MAGNOLIA HOSPITAL","OP-26","39","394","1","115","9","0","0","0","1","","01/01/2014","12/31/2014"
"040069","GREAT RIVER MEDICAL CENTER","OP-26","108","0","84","62","503","90","3","0","0","","01/01/2014","12/31/2014"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","OP-26","602","0","78","255","1240","239","293","6","25","","01/01/2014","12/31/2014"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","OP-26","303","64","27","50","20","67","9","0","3","","01/01/2014","12/31/2014"
"040074","NORTH METRO MEDICAL CENTER","OP-26","38","0","72","7","12","26","4","0","1","","01/01/2014","12/31/2014"
"040076","BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY","OP-26","316","0","2","1","26","13","29","0","1","","01/01/2014","12/31/2014"
"040078","NATIONAL PARK MEDICAL CENTER","OP-26","881","0","169","490","67","69","528","43","24","","01/01/2014","12/31/2014"
"040080","UNITY HEALTH HARRIS MEDICAL CENTER","OP-26","378","0","3","17","25","8","21","0","0","","01/01/2014","12/31/2014"
"040084","SALINE MEMORIAL HOSPITAL","OP-26","780","33","137","255","678","37","19","10","4","","01/01/2014","12/31/2014"
"040085","HELENA REGIONAL MEDICAL CENTER","OP-26","272","22","2","1","5","46","3","0","0","","01/01/2014","12/31/2014"
"040088","MEDICAL CENTER SOUTH ARKANSAS","OP-26","417","9","482","133","19","0","133","26","9","","01/01/2014","12/31/2014"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","OP-26","1135","662","991","1281","317","1077","1678","530","30","","01/01/2014","12/31/2014"
