"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"WA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56","","01/01/2015","12/31/2015"
"WI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","48","","01/01/2015","12/31/2015"
"WV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","77","","01/01/2015","12/31/2015"
"WY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","174","","01/01/2015","12/31/2015"
"AK","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","01/01/2015","12/31/2015"
"AL","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","23","","01/01/2015","12/31/2015"
"AR","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","33","","01/01/2015","12/31/2015"
"AS","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"AZ","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","01/01/2015","12/31/2015"
"CA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","01/01/2015","12/31/2015"
"CO","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","01/01/2015","12/31/2015"
"CT","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","01/01/2015","12/31/2015"
"DC","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"DE","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"FL","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","26","","01/01/2015","12/31/2015"
"GA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","29","","01/01/2015","12/31/2015"
"GU","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"HI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","26","","01/01/2015","12/31/2015"
"IA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","36","","01/01/2015","12/31/2015"
"ID","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","27","","01/01/2015","12/31/2015"
"IL","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","23","","01/01/2015","12/31/2015"
"IN","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","31","","01/01/2015","12/31/2015"
"KS","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","44","","01/01/2015","12/31/2015"
"KY","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","24","","01/01/2015","12/31/2015"
"LA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","01/01/2015","12/31/2015"
"MA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","26","","01/01/2015","12/31/2015"
"MD","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","25","","01/01/2015","12/31/2015"
"ME","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","20","","01/01/2015","12/31/2015"
"MI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","26","","01/01/2015","12/31/2015"
"MN","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","01/01/2015","12/31/2015"
"MO","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","31","","01/01/2015","12/31/2015"
"MP","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"MS","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","34","","01/01/2015","12/31/2015"
"MT","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","01/01/2015","12/31/2015"
"NC","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","01/01/2015","12/31/2015"
"ND","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","44","","01/01/2015","12/31/2015"
"NE","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","36","","01/01/2015","12/31/2015"
"NH","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","24","","01/01/2015","12/31/2015"
"NJ","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","01/01/2015","12/31/2015"
"NM","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","26","","01/01/2015","12/31/2015"
"NV","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","01/01/2015","12/31/2015"
"NY","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","01/01/2015","12/31/2015"
"OH","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","34","","01/01/2015","12/31/2015"
"OK","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","29","","01/01/2015","12/31/2015"
"OR","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","38","","01/01/2015","12/31/2015"
"PA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","38","","01/01/2015","12/31/2015"
"PR","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","01/01/2015","12/31/2015"
"RI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"SC","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","01/01/2015","12/31/2015"
"SD","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","29","","01/01/2015","12/31/2015"
"TN","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","24","","01/01/2015","12/31/2015"
"TX","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","01/01/2015","12/31/2015"
"UT","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","26","","01/01/2015","12/31/2015"
"VA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","27","","01/01/2015","12/31/2015"
"VI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"VT","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","33","","01/01/2015","12/31/2015"
"WA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","01/01/2015","12/31/2015"
"WI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","27","","01/01/2015","12/31/2015"
"WV","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","24","","01/01/2015","12/31/2015"
"WY","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","27","","01/01/2015","12/31/2015"
"AK","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"AL","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"AR","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"AS","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","Not Available","5 - Results are not available for this reporting period.","01/01/2015","09/30/2015"
"AZ","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","96","","01/01/2015","09/30/2015"
"CA","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"CO","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"CT","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"DC","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","82","","01/01/2015","09/30/2015"
"DE","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","Not Available","5 - Results are not available for this reporting period.","01/01/2015","09/30/2015"
"FL","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"GA","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"GU","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","92","","01/01/2015","09/30/2015"
"HI","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"IA","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","95","","01/01/2015","09/30/2015"
"ID","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"IL","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","96","","01/01/2015","09/30/2015"
"IN","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"KS","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"KY","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"LA","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"MA","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","100","","01/01/2015","09/30/2015"
"MD","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"ME","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"MI","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"MN","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"MO","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"MP","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","Not Available","5 - Results are not available for this reporting period.","01/01/2015","09/30/2015"
"MS","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"MT","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","100","","01/01/2015","09/30/2015"
"NC","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","100","","01/01/2015","09/30/2015"
"ND","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"NE","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"NH","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"NJ","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"NM","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"NV","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","100","","01/01/2015","09/30/2015"
"NY","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"OH","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"OK","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"OR","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"PA","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"PR","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","92","","01/01/2015","09/30/2015"
"RI","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","97","","01/01/2015","09/30/2015"
"SC","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"SD","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"TN","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","95","","01/01/2015","09/30/2015"
"TX","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","96","","01/01/2015","09/30/2015"
"UT","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","96","","01/01/2015","09/30/2015"
"VA","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"VI","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","93","","01/01/2015","09/30/2015"
"VT","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","100","","01/01/2015","09/30/2015"
"WA","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","96","","01/01/2015","09/30/2015"
"WI","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","99","","01/01/2015","09/30/2015"
"WV","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","100","","01/01/2015","09/30/2015"
"WY","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","SCIP_INF_9","98","","01/01/2015","09/30/2015"
"AK","Emergency Department","Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","ED_1b","299","","01/01/2015","12/31/2015"
"AL","Emergency Department","Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","ED_1b","248","","01/01/2015","12/31/2015"
"AR","Emergency Department","Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","ED_1b","222","","01/01/2015","12/31/2015"
"AS","Emergency Department","Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","ED_1b","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"AZ","Emergency Department","Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","ED_1b","293","","01/01/2015","12/31/2015"
"CA","Emergency Department","Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","ED_1b","343","","01/01/2015","12/31/2015"
"CO","Emergency Department","Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","ED_1b","239","","01/01/2015","12/31/2015"
